Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Ubl conjugation	21	52.5	3.09E-12	"ENSG00000044115, ENSG00000136997, ENSG00000145675, ENSG00000097007, ENSG00000105976, ENSG00000149554, ENSG00000141867, ENSG00000161202, ENSG00000163930, ENSG00000197122, ENSG00000126581, ENSG00000100219, ENSG00000167601, ENSG00000039068, ENSG00000079246, ENSG00000103197, ENSG00000118689, ENSG00000136450, ENSG00000165025, ENSG00000183765, ENSG00000100345"	40	1705	20581	6.337258065	4.44E-10	4.44E-10	3.66E-09
UP_KEYWORDS	Phosphoprotein	34	85	1.29E-08	"ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000105976, ENSG00000141448, ENSG00000163930, ENSG00000197122, ENSG00000171552, ENSG00000002330, ENSG00000095002, ENSG00000198793, ENSG00000118689, ENSG00000136450, ENSG00000165025, ENSG00000136352, ENSG00000183765, ENSG00000044115, ENSG00000145675, ENSG00000065361, ENSG00000149554, ENSG00000162734, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000105281, ENSG00000126581, ENSG00000100219, ENSG00000167601, ENSG00000082701, ENSG00000079246, ENSG00000039068, ENSG00000103197, ENSG00000137154, ENSG00000100345"	40	8246	20581	2.12149527	1.86E-06	9.31E-07	1.53E-05
UP_KEYWORDS	Kinase	12	30	7.52E-08	"ENSG00000167601, ENSG00000082701, ENSG00000145675, ENSG00000132155, ENSG00000097007, ENSG00000105976, ENSG00000149554, ENSG00000065361, ENSG00000198793, ENSG00000197122, ENSG00000165025, ENSG00000183765"	40	735	20581	8.400408163	1.08E-05	3.61E-06	8.91E-05
UP_KEYWORDS	Acetylation	22	55	1.19E-07	"ENSG00000044115, ENSG00000136997, ENSG00000145675, ENSG00000097007, ENSG00000108773, ENSG00000141867, ENSG00000117713, ENSG00000087088, ENSG00000105281, ENSG00000126581, ENSG00000100219, ENSG00000002330, ENSG00000079246, ENSG00000120533, ENSG00000198793, ENSG00000095002, ENSG00000118689, ENSG00000136450, ENSG00000121022, ENSG00000078237, ENSG00000137154, ENSG00000100345"	40	3424	20581	3.305943341	1.71E-05	4.28E-06	1.41E-04
UP_KEYWORDS	Host-virus interaction	9	22.5	5.17E-07	"ENSG00000167601, ENSG00000145675, ENSG00000108773, ENSG00000103197, ENSG00000141867, ENSG00000197122, ENSG00000087088, ENSG00000126581, ENSG00000165025"	40	385	20581	12.02785714	7.44E-05	1.49E-05	6.13E-04
UP_KEYWORDS	Apoptosis	10	25	5.44E-07	"ENSG00000002330, ENSG00000097007, ENSG00000162734, ENSG00000118689, ENSG00000078237, ENSG00000087088, ENSG00000100219, ENSG00000126581, ENSG00000171552, ENSG00000183765"	40	536	20581	9.599347015	7.84E-05	1.31E-05	6.45E-04
UP_KEYWORDS	ATP-binding	14	35	8.97E-07	"ENSG00000132155, ENSG00000105976, ENSG00000097007, ENSG00000149554, ENSG00000065361, ENSG00000197122, ENSG00000167601, ENSG00000079246, ENSG00000082701, ENSG00000095002, ENSG00000198793, ENSG00000165025, ENSG00000183765, ENSG00000100345"	40	1391	20581	5.178540618	1.29E-04	1.85E-05	0.001063595
UP_KEYWORDS	Tyrosine-protein kinase	6	15	2.17E-06	"ENSG00000167601, ENSG00000097007, ENSG00000105976, ENSG00000065361, ENSG00000197122, ENSG00000165025"	40	112	20581	27.56383929	3.12E-04	3.90E-05	0.002569468
UP_KEYWORDS	Proto-oncogene	7	17.5	5.07E-06	"ENSG00000167601, ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000105976, ENSG00000118689, ENSG00000197122"	40	236	20581	15.26133475	7.30E-04	8.11E-05	0.006012954
UP_KEYWORDS	Nucleus	24	60	9.44E-06	"ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000117713, ENSG00000163930, ENSG00000197122, ENSG00000126581, ENSG00000171552, ENSG00000100219, ENSG00000082701, ENSG00000079246, ENSG00000120533, ENSG00000095002, ENSG00000198793, ENSG00000118689, ENSG00000136450, ENSG00000121022, ENSG00000078237, ENSG00000136352, ENSG00000183765"	40	5244	20581	2.354805492	0.001358874	1.36E-04	0.011196259
