Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0071322~cellular response to carbohydrate stimulus	6	15.0	0.00609809999001728	ENSG00000002330, ENSG00000120533, ENSG00000136997, ENSG00000132155, ENSG00000118689, ENSG00000100219	38	7	168	3.789473684210526	0.9999999962071905	0.9999999962071905	10.48993342725214
GOTERM_BP_ALL	GO:0071326~cellular response to monosaccharide stimulus	5	12.5	0.008653224899545413	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000100219	38	5	168	4.421052631578948	0.9999999999989158	0.9999989587067256	14.568469672483342
GOTERM_BP_ALL	GO:0071333~cellular response to glucose stimulus	5	12.5	0.008653224899545413	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000100219	38	5	168	4.421052631578948	0.9999999999989158	0.9999989587067256	14.568469672483342
GOTERM_BP_ALL	GO:0071331~cellular response to hexose stimulus	5	12.5	0.008653224899545413	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000100219	38	5	168	4.421052631578948	0.9999999999989158	0.9999989587067256	14.568469672483342
GOTERM_BP_ALL	GO:0001678~cellular glucose homeostasis	5	12.5	0.008653224899545413	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000100219	38	5	168	4.421052631578948	0.9999999999989158	0.9999989587067256	14.568469672483342
GOTERM_BP_ALL	GO:0080135~regulation of cellular response to stress	15	37.5	0.010029849363813886	ENSG00000136997, ENSG00000105976, ENSG00000097007, ENSG00000149554, ENSG00000141867, ENSG00000161202, ENSG00000087088, ENSG00000100219, ENSG00000171552, ENSG00000198793, ENSG00000118689, ENSG00000078237, ENSG00000121022, ENSG00000165025, ENSG00000183765	38	37	168	1.7923186344238977	0.9999999999999868	0.9999763397654826	16.692432296463245
GOTERM_BP_ALL	GO:0051254~positive regulation of RNA metabolic process	19	47.5	0.04083098329505895	ENSG00000136997, ENSG00000132155, ENSG00000105976, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000197122, ENSG00000100219, ENSG00000039068, ENSG00000120533, ENSG00000198793, ENSG00000118689, ENSG00000136450, ENSG00000121022, ENSG00000136352, ENSG00000183765	38	59	168	1.4237288135593222	1.0	0.9999999999999956	53.01171429225895
GOTERM_BP_ALL	GO:0010906~regulation of glucose metabolic process	5	12.5	0.042721557026583666	ENSG00000002330, ENSG00000108773, ENSG00000198793, ENSG00000197122, ENSG00000078237	38	7	168	3.1578947368421053	1.0	0.9999999999990488	54.66166147322314
GOTERM_BP_ALL	GO:0071229~cellular response to acid chemical	6	15.0	0.042883622154642295	ENSG00000079246, ENSG00000136997, ENSG00000142156, ENSG00000197122, ENSG00000100219, ENSG00000171552	38	10	168	2.6526315789473682	1.0	0.9999999999122915	54.80052245200437
GOTERM_BP_ALL	GO:0030183~B cell differentiation	6	15.0	0.042883622154642295	ENSG00000002330, ENSG00000097007, ENSG00000095002, ENSG00000087088, ENSG00000100219, ENSG00000165025	38	10	168	2.6526315789473682	1.0	0.9999999999122915	54.80052245200437
GOTERM_BP_ALL	GO:0032774~RNA biosynthetic process	23	57.49999999999999	0.04495091296037178	ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000105976, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000197122, ENSG00000100219, ENSG00000039068, ENSG00000079246, ENSG00000120533, ENSG00000198793, ENSG00000118689, ENSG00000136450, ENSG00000121022, ENSG00000137154, ENSG00000165025, ENSG00000136352, ENSG00000183765	38	77	168	1.3205741626794258	1.0	0.9999999990994812	56.5369369004578
GOTERM_BP_ALL	GO:0007276~gamete generation	10	25.0	0.04837106222648747	ENSG00000167601, ENSG00000002330, ENSG00000136997, ENSG00000095002, ENSG00000198793, ENSG00000118689, ENSG00000197122, ENSG00000087088, ENSG00000137154, ENSG00000171552	38	24	168	1.8421052631578947	1.0	0.9999999970636873	59.27203925307856
GOTERM_BP_ALL	GO:0048585~negative regulation of response to stimulus	19	47.5	0.04928070459522511	ENSG00000044115, ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000105976, ENSG00000065361, ENSG00000162734, ENSG00000141867, ENSG00000161202, ENSG00000197122, ENSG00000087088, ENSG00000171552, ENSG00000100219, ENSG00000120533, ENSG00000103197, ENSG00000198793, ENSG00000118689, ENSG00000136352, ENSG00000183765	38	60	168	1.4	1.0	0.999999981399045	59.97162174728854
GOTERM_BP_ALL	GO:0060322~head development	14	35.0	0.0562702900822283	ENSG00000136997, ENSG00000132155, ENSG00000097007, ENSG00000108773, ENSG00000117713, ENSG00000197122, ENSG00000087088, ENSG00000167601, ENSG00000039068, ENSG00000002330, ENSG00000079246, ENSG00000198793, ENSG00000118689, ENSG00000136352	38	40	168	1.5473684210526315	1.0	0.9999999893659695	64.98065938174842
GOTERM_BP_ALL	GO:1902680~positive regulation of RNA biosynthetic process	18	45.0	0.06186927486849159	ENSG00000136997, ENSG00000132155, ENSG00000105976, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000197122, ENSG00000100219, ENSG00000039068, ENSG00000120533, ENSG00000198793, ENSG00000118689, ENSG00000121022, ENSG00000136352, ENSG00000183765	38	57	168	1.3961218836565095	1.0	0.9999999898420834	68.55959568738909
GOTERM_BP_ALL	GO:1903508~positive regulation of nucleic acid-templated transcription	18	45.0	0.06186927486849159	ENSG00000136997, ENSG00000132155, ENSG00000105976, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000197122, ENSG00000100219, ENSG00000039068, ENSG00000120533, ENSG00000198793, ENSG00000118689, ENSG00000121022, ENSG00000136352, ENSG00000183765	38	57	168	1.3961218836565095	1.0	0.9999999898420834	68.55959568738909
GOTERM_BP_ALL	GO:0045893~positive regulation of transcription, DNA-templated	18	45.0	0.06186927486849159	ENSG00000136997, ENSG00000132155, ENSG00000105976, ENSG00000141448, ENSG00000149554, ENSG00000108773, ENSG00000141867, ENSG00000161202, ENSG00000117713, ENSG00000197122, ENSG00000100219, ENSG00000039068, ENSG00000120533, ENSG00000198793, ENSG00000118689, ENSG00000121022, ENSG00000136352, ENSG00000183765	38	57	168	1.3961218836565095	1.0	0.9999999898420834	68.55959568738909
GOTERM_BP_ALL	GO:0048468~cell development	21	52.5	0.06214795572249911	ENSG00000044115, ENSG00000136997, ENSG00000097007, ENSG00000105976, ENSG00000141448, ENSG00000197122, ENSG00000087088, ENSG00000126581, ENSG00000171552, ENSG00000100219, ENSG00000167601, ENSG00000039068, ENSG00000002330, ENSG00000079246, ENSG00000198793, ENSG00000095002, ENSG00000118689, ENSG00000078237, ENSG00000137154, ENSG00000100345, ENSG00000136352	38	70	168	1.3263157894736843	1.0	0.9999999564669914	68.72837552868899
GOTERM_BP_ALL	GO:0033500~carbohydrate homeostasis	6	15.0	0.06583499629966487	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000137154, ENSG00000100219	38	11	168	2.4114832535885165	1.0	0.9999999386369393	70.88233156260955
GOTERM_BP_ALL	GO:0006109~regulation of carbohydrate metabolic process	6	15.0	0.06583499629966487	ENSG00000002330, ENSG00000136997, ENSG00000108773, ENSG00000198793, ENSG00000197122, ENSG00000078237	38	11	168	2.4114832535885165	1.0	0.9999999386369393	70.88233156260955
GOTERM_BP_ALL	GO:0042593~glucose homeostasis	6	15.0	0.06583499629966487	ENSG00000002330, ENSG00000120533, ENSG00000132155, ENSG00000118689, ENSG00000137154, ENSG00000100219	38	11	168	2.4114832535885165	1.0	0.9999999386369393	70.88233156260955
