Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_ALL	GO:0044281~small molecule metabolic process	288	26.47058823529412	3.3362060434449403E-12	ENSG00000115286, ENSG00000171124, ENSG00000144908, ENSG00000165475, ENSG00000242515, ENSG00000015413, ENSG00000167701, ENSG00000120437, ENSG00000160194, ENSG00000150540, ENSG00000163586, ENSG00000140284, ENSG00000035687, ENSG00000133742, ENSG00000156575, ENSG00000165704, ENSG00000140650, ENSG00000178127, ENSG00000168710, ENSG00000120254, ENSG00000164708, ENSG00000167165, ENSG00000198721, ENSG00000117115, ENSG00000184730, ENSG00000126067, ENSG00000161513, ENSG00000165092, ENSG00000148090, ENSG00000070669, ENSG00000099624, ENSG00000171234, ENSG00000171723, ENSG00000075239, ENSG00000143158, ENSG00000120053, ENSG00000100938, ENSG00000153574, ENSG00000115263, ENSG00000167863, ENSG00000115677, ENSG00000170266, ENSG00000167969, ENSG00000067057, ENSG00000100889, ENSG00000074410, ENSG00000120697, ENSG00000137801, ENSG00000074416, ENSG00000108528, ENSG00000095002, ENSG00000122971, ENSG00000156958, ENSG00000079739, ENSG00000087191, ENSG00000167186, ENSG00000126432, ENSG00000031698, ENSG00000073578, ENSG00000128050, ENSG00000128311, ENSG00000171503, ENSG00000149782, ENSG00000011052, ENSG00000184752, ENSG00000059377, ENSG00000161533, ENSG00000072506, ENSG00000063854, ENSG00000189058, ENSG00000134240, ENSG00000084774, ENSG00000239900, ENSG00000173599, ENSG00000042445, ENSG00000173597, ENSG00000171848, ENSG00000171314, ENSG00000133731, ENSG00000162390, ENSG00000161544, ENSG00000001036, ENSG00000095261, ENSG00000025708, ENSG00000104687, ENSG00000178741, ENSG00000021826, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000124802, ENSG00000135069, ENSG00000165140, ENSG00000111640, ENSG00000014641, ENSG00000124253, ENSG00000198814, ENSG00000172890, ENSG00000154723, ENSG00000074800, ENSG00000172340, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000169714, ENSG00000104267, ENSG00000084207, ENSG00000065518, ENSG00000099998, ENSG00000153201, ENSG00000197165, ENSG00000131016, ENSG00000164904, ENSG00000095637, ENSG00000154330, ENSG00000168291, ENSG00000067225, ENSG00000163931, ENSG00000135318, ENSG00000155850, ENSG00000134333, ENSG00000198931, ENSG00000102575, ENSG00000128951, ENSG00000156467, ENSG00000143774, ENSG00000131828, ENSG00000100983, ENSG00000110090, ENSG00000164919, ENSG00000198431, ENSG00000167283, ENSG00000159423, ENSG00000142168, ENSG00000123836, ENSG00000107789, ENSG00000117394, ENSG00000110244, ENSG00000187097, ENSG00000261052, ENSG00000185627, ENSG00000169738, ENSG00000111775, ENSG00000126522, ENSG00000161267, ENSG00000166228, ENSG00000198074, ENSG00000157184, ENSG00000196139, ENSG00000109971, ENSG00000158467, ENSG00000166136, ENSG00000114054, ENSG00000167363, ENSG00000083444, ENSG00000126267, ENSG00000114779, ENSG00000156110, ENSG00000135220, ENSG00000175198, ENSG00000219073, ENSG00000168610, ENSG00000158864, ENSG00000152256, ENSG00000172955, ENSG00000065427, ENSG00000243989, ENSG00000104774, ENSG00000196616, ENSG00000135940, ENSG00000114353, ENSG00000125458, ENSG00000142789, ENSG00000152642, ENSG00000115211, ENSG00000102172, ENSG00000139180, ENSG00000162368, ENSG00000100604, ENSG00000136010, ENSG00000099810, ENSG00000100600, ENSG00000198668, ENSG00000075711, ENSG00000168393, ENSG00000159131, ENSG00000173221, ENSG00000244005, ENSG00000164687, ENSG00000105953, ENSG00000111669, ENSG00000108578, ENSG00000162438, ENSG00000239672, ENSG00000179958, ENSG00000117054, ENSG00000152234, ENSG00000147684, ENSG00000133313, ENSG00000145439, ENSG00000153904, ENSG00000105220, ENSG00000164405, ENSG00000167792, ENSG00000179163, ENSG00000167107, ENSG00000121064, ENSG00000159921, ENSG00000038274, ENSG00000138413, ENSG00000143891, ENSG00000118137, ENSG00000072778, ENSG00000119711, ENSG00000183010, ENSG00000167114, ENSG00000092054, ENSG00000158874, ENSG00000198682, ENSG00000164258, ENSG00000140105, ENSG00000243955, ENSG00000131143, ENSG00000115944, ENSG00000167434, ENSG00000131467, ENSG00000167325, ENSG00000140374, ENSG00000122884, ENSG00000116171, ENSG00000133835, ENSG00000171989, ENSG00000138207, ENSG00000100632, ENSG00000136930, ENSG00000159228, ENSG00000145494, ENSG00000113552, ENSG00000159231, ENSG00000213366, ENSG00000165609, ENSG00000067829, ENSG00000197888, ENSG00000170906, ENSG00000164039, ENSG00000103876, ENSG00000114115, ENSG00000213639, ENSG00000178921, ENSG00000113407, ENSG00000168906, ENSG00000267855, ENSG00000004779, ENSG00000131069, ENSG00000072210, ENSG00000138777, ENSG00000233276, ENSG00000108439, ENSG00000111144, ENSG00000084674, ENSG00000127125, ENSG00000248144, ENSG00000081923, ENSG00000106853, ENSG00000124767, ENSG00000181019, ENSG00000058668, ENSG00000140990, ENSG00000196502, ENSG00000085662, ENSG00000118271, ENSG00000147162, ENSG00000242366, ENSG00000131495, ENSG00000145321, ENSG00000171298, ENSG00000148834, ENSG00000060971, ENSG00000088682, ENSG00000101126, ENSG00000178802, ENSG00000213759, ENSG00000172531, ENSG00000073737, ENSG00000121691, ENSG00000113522, ENSG00000119013, ENSG00000125877	1030	669	3254	1.360024380687013	2.300323798110071E-8	2.300323798110071E-8	6.563760646116634E-9
GOTERM_BP_ALL	GO:0055086~nucleobase-containing small molecule metabolic process	130	11.948529411764707	8.339512817796674E-10	ENSG00000158467, ENSG00000115286, ENSG00000109971, ENSG00000166136, ENSG00000114779, ENSG00000126267, ENSG00000160194, ENSG00000156110, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000065427, ENSG00000165704, ENSG00000168710, ENSG00000135940, ENSG00000178127, ENSG00000164708, ENSG00000125458, ENSG00000114353, ENSG00000161513, ENSG00000152642, ENSG00000099624, ENSG00000162368, ENSG00000139180, ENSG00000100604, ENSG00000099810, ENSG00000171723, ENSG00000198668, ENSG00000075711, ENSG00000075239, ENSG00000143158, ENSG00000168393, ENSG00000244005, ENSG00000173221, ENSG00000159131, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000153574, ENSG00000115263, ENSG00000167863, ENSG00000239672, ENSG00000179958, ENSG00000067057, ENSG00000100889, ENSG00000152234, ENSG00000137801, ENSG00000147684, ENSG00000095002, ENSG00000105220, ENSG00000164405, ENSG00000079739, ENSG00000167792, ENSG00000138413, ENSG00000126432, ENSG00000073578, ENSG00000128050, ENSG00000011052, ENSG00000184752, ENSG00000119711, ENSG00000092054, ENSG00000198682, ENSG00000084774, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171848, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000025708, ENSG00000104687, ENSG00000167325, ENSG00000178741, ENSG00000021826, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000165140, ENSG00000111640, ENSG00000100632, ENSG00000014641, ENSG00000124253, ENSG00000145494, ENSG00000172890, ENSG00000154723, ENSG00000165609, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000178921, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000233276, ENSG00000197165, ENSG00000131016, ENSG00000168291, ENSG00000127125, ENSG00000067225, ENSG00000163931, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000128951, ENSG00000156467, ENSG00000196502, ENSG00000140990, ENSG00000143774, ENSG00000131828, ENSG00000164919, ENSG00000198431, ENSG00000167283, ENSG00000118271, ENSG00000147162, ENSG00000123836, ENSG00000131495, ENSG00000187097, ENSG00000261052, ENSG00000169738, ENSG00000088682, ENSG00000101126, ENSG00000111775, ENSG00000113522, ENSG00000121691, ENSG00000119013, ENSG00000125877	1030	264	3254	1.555678140629597	5.750077280097798E-6	2.8750427729651307E-6	1.6407365244219818E-6
GOTERM_BP_ALL	GO:0006753~nucleoside phosphate metabolic process	120	11.029411764705882	6.5394629649396216E-9	ENSG00000115286, ENSG00000109971, ENSG00000166136, ENSG00000114779, ENSG00000126267, ENSG00000160194, ENSG00000156110, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000065427, ENSG00000165704, ENSG00000135940, ENSG00000178127, ENSG00000164708, ENSG00000125458, ENSG00000114353, ENSG00000161513, ENSG00000152642, ENSG00000099624, ENSG00000162368, ENSG00000139180, ENSG00000100604, ENSG00000171723, ENSG00000198668, ENSG00000075711, ENSG00000075239, ENSG00000143158, ENSG00000168393, ENSG00000244005, ENSG00000159131, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000153574, ENSG00000115263, ENSG00000167863, ENSG00000239672, ENSG00000179958, ENSG00000067057, ENSG00000100889, ENSG00000152234, ENSG00000137801, ENSG00000147684, ENSG00000095002, ENSG00000105220, ENSG00000164405, ENSG00000079739, ENSG00000167792, ENSG00000126432, ENSG00000138413, ENSG00000073578, ENSG00000128050, ENSG00000011052, ENSG00000184752, ENSG00000092054, ENSG00000198682, ENSG00000084774, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171848, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000167325, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000165140, ENSG00000100632, ENSG00000111640, ENSG00000014641, ENSG00000124253, ENSG00000145494, ENSG00000172890, ENSG00000154723, ENSG00000165609, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000178921, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000233276, ENSG00000197165, ENSG00000131016, ENSG00000168291, ENSG00000127125, ENSG00000067225, ENSG00000163931, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000128951, ENSG00000156467, ENSG00000196502, ENSG00000140990, ENSG00000143774, ENSG00000131828, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000123836, ENSG00000131495, ENSG00000187097, ENSG00000261052, ENSG00000169738, ENSG00000088682, ENSG00000101126, ENSG00000111775, ENSG00000113522, ENSG00000121691, ENSG00000119013, ENSG00000125877	1030	245	3254	1.5473746780265505	4.5088580812757684E-5	1.5029752829964771E-5	1.2865902265790652E-5
GOTERM_BP_ALL	GO:0009117~nucleotide metabolic process	119	10.9375	7.776100792933486E-9	ENSG00000115286, ENSG00000109971, ENSG00000166136, ENSG00000114779, ENSG00000126267, ENSG00000160194, ENSG00000156110, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000065427, ENSG00000165704, ENSG00000135940, ENSG00000178127, ENSG00000164708, ENSG00000125458, ENSG00000114353, ENSG00000161513, ENSG00000152642, ENSG00000099624, ENSG00000162368, ENSG00000139180, ENSG00000100604, ENSG00000171723, ENSG00000198668, ENSG00000075711, ENSG00000075239, ENSG00000143158, ENSG00000168393, ENSG00000244005, ENSG00000159131, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000153574, ENSG00000115263, ENSG00000167863, ENSG00000239672, ENSG00000067057, ENSG00000100889, ENSG00000152234, ENSG00000137801, ENSG00000147684, ENSG00000095002, ENSG00000105220, ENSG00000164405, ENSG00000079739, ENSG00000167792, ENSG00000126432, ENSG00000138413, ENSG00000073578, ENSG00000128050, ENSG00000011052, ENSG00000184752, ENSG00000092054, ENSG00000198682, ENSG00000084774, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171848, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000167325, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000165140, ENSG00000100632, ENSG00000111640, ENSG00000014641, ENSG00000124253, ENSG00000145494, ENSG00000172890, ENSG00000154723, ENSG00000165609, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000178921, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000233276, ENSG00000197165, ENSG00000131016, ENSG00000168291, ENSG00000127125, ENSG00000067225, ENSG00000163931, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000128951, ENSG00000156467, ENSG00000196502, ENSG00000140990, ENSG00000143774, ENSG00000131828, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000123836, ENSG00000131495, ENSG00000187097, ENSG00000261052, ENSG00000169738, ENSG00000088682, ENSG00000101126, ENSG00000111775, ENSG00000113522, ENSG00000121691, ENSG00000119013, ENSG00000125877	1030	243	3254	1.5471093531503455	5.361477764787015E-5	1.3403963908920069E-5	1.5298894062709678E-5
GOTERM_BP_ALL	GO:0055114~oxidation-reduction process	167	15.349264705882353	3.12363911275344E-8	ENSG00000196139, ENSG00000115286, ENSG00000166136, ENSG00000144908, ENSG00000165475, ENSG00000173992, ENSG00000120437, ENSG00000083444, ENSG00000126267, ENSG00000160194, ENSG00000163586, ENSG00000158864, ENSG00000116260, ENSG00000140284, ENSG00000172955, ENSG00000196616, ENSG00000167996, ENSG00000135940, ENSG00000178127, ENSG00000120254, ENSG00000164708, ENSG00000198721, ENSG00000161513, ENSG00000165092, ENSG00000148090, ENSG00000152642, ENSG00000186298, ENSG00000139180, ENSG00000136010, ENSG00000198668, ENSG00000075239, ENSG00000173221, ENSG00000100938, ENSG00000105953, ENSG00000169764, ENSG00000111669, ENSG00000067057, ENSG00000117054, ENSG00000167969, ENSG00000100889, ENSG00000216490, ENSG00000109854, ENSG00000147684, ENSG00000105755, ENSG00000161618, ENSG00000145439, ENSG00000008394, ENSG00000119471, ENSG00000105220, ENSG00000122971, ENSG00000010327, ENSG00000164405, ENSG00000079739, ENSG00000167792, ENSG00000132382, ENSG00000167186, ENSG00000138413, ENSG00000126432, ENSG00000073578, ENSG00000116791, ENSG00000072778, ENSG00000118137, ENSG00000171503, ENSG00000184752, ENSG00000119711, ENSG00000183010, ENSG00000059377, ENSG00000161533, ENSG00000072506, ENSG00000158874, ENSG00000189058, ENSG00000211445, ENSG00000239900, ENSG00000164258, ENSG00000198363, ENSG00000042445, ENSG00000171848, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000161544, ENSG00000104687, ENSG00000167325, ENSG00000140374, ENSG00000178741, ENSG00000021826, ENSG00000122884, ENSG00000105679, ENSG00000116171, ENSG00000133835, ENSG00000176387, ENSG00000171989, ENSG00000168653, ENSG00000086696, ENSG00000152952, ENSG00000111640, ENSG00000014641, ENSG00000159228, ENSG00000145494, ENSG00000159231, ENSG00000130508, ENSG00000074800, ENSG00000067829, ENSG00000108828, ENSG00000170906, ENSG00000131471, ENSG00000172340, ENSG00000164039, ENSG00000184470, ENSG00000099795, ENSG00000213639, ENSG00000077232, ENSG00000116701, ENSG00000163754, ENSG00000157379, ENSG00000121053, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000131069, ENSG00000072210, ENSG00000233276, ENSG00000108439, ENSG00000164904, ENSG00000095637, ENSG00000100292, ENSG00000168291, ENSG00000154330, ENSG00000067225, ENSG00000248144, ENSG00000134333, ENSG00000106853, ENSG00000156709, ENSG00000181019, ENSG00000156467, ENSG00000109814, ENSG00000109610, ENSG00000140990, ENSG00000166816, ENSG00000131828, ENSG00000110090, ENSG00000085662, ENSG00000164919, ENSG00000198431, ENSG00000159423, ENSG00000162482, ENSG00000142168, ENSG00000123836, ENSG00000131495, ENSG00000110244, ENSG00000057608, ENSG00000175029, ENSG00000069535, ENSG00000148834, ENSG00000171298, ENSG00000060971, ENSG00000169738, ENSG00000088682, ENSG00000172531, ENSG00000111775, ENSG00000073737, ENSG00000121691, ENSG00000161267, ENSG00000119013, ENSG00000166228, ENSG00000198074, ENSG00000157184	1030	375	3254	1.4069074433656956	2.153517287631912E-4	4.307405634151884E-5	6.145523945289E-5
GOTERM_BP_ALL	GO:1901657~glycosyl compound metabolic process	97	8.915441176470589	3.606234578153181E-8	ENSG00000196139, ENSG00000109971, ENSG00000115286, ENSG00000158467, ENSG00000001036, ENSG00000025708, ENSG00000166136, ENSG00000178741, ENSG00000105679, ENSG00000160194, ENSG00000114779, ENSG00000126267, ENSG00000156110, ENSG00000168653, ENSG00000165140, ENSG00000111640, ENSG00000100632, ENSG00000168610, ENSG00000158864, ENSG00000198951, ENSG00000035687, ENSG00000145494, ENSG00000165704, ENSG00000168710, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000165609, ENSG00000164708, ENSG00000125458, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000099624, ENSG00000163655, ENSG00000162368, ENSG00000139180, ENSG00000162813, ENSG00000099810, ENSG00000171723, ENSG00000075711, ENSG00000075239, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000244005, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000197165, ENSG00000127125, ENSG00000167863, ENSG00000239672, ENSG00000067225, ENSG00000067057, ENSG00000135318, ENSG00000155850, ENSG00000134333, ENSG00000198931, ENSG00000152234, ENSG00000128951, ENSG00000147684, ENSG00000156467, ENSG00000095002, ENSG00000145439, ENSG00000140990, ENSG00000196502, ENSG00000105220, ENSG00000143774, ENSG00000164405, ENSG00000167792, ENSG00000079739, ENSG00000179163, ENSG00000085662, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000073578, ENSG00000123836, ENSG00000131495, ENSG00000011052, ENSG00000184752, ENSG00000187097, ENSG00000092054, ENSG00000261052, ENSG00000198682, ENSG00000084774, ENSG00000088682, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171314, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000198074, ENSG00000115944	1030	192	3254	1.596065938511327	2.4861896779160286E-4	4.144078774193094E-5	7.09499373696687E-5
GOTERM_BP_ALL	GO:0072521~purine-containing compound metabolic process	100	9.191176470588236	4.1836819778590546E-8	ENSG00000158467, ENSG00000115286, ENSG00000109971, ENSG00000166136, ENSG00000126267, ENSG00000114779, ENSG00000160194, ENSG00000156110, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000165704, ENSG00000168710, ENSG00000135940, ENSG00000178127, ENSG00000164708, ENSG00000125458, ENSG00000114353, ENSG00000099624, ENSG00000139180, ENSG00000100604, ENSG00000099810, ENSG00000171723, ENSG00000198668, ENSG00000075239, ENSG00000075711, ENSG00000244005, ENSG00000159131, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000115263, ENSG00000167863, ENSG00000239672, ENSG00000067057, ENSG00000152234, ENSG00000137801, ENSG00000147684, ENSG00000095002, ENSG00000105220, ENSG00000164405, ENSG00000079739, ENSG00000167792, ENSG00000073578, ENSG00000128050, ENSG00000184752, ENSG00000011052, ENSG00000092054, ENSG00000198682, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000165140, ENSG00000111640, ENSG00000145494, ENSG00000154723, ENSG00000165609, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000178921, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000197165, ENSG00000233276, ENSG00000131016, ENSG00000127125, ENSG00000067225, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000156467, ENSG00000196502, ENSG00000140990, ENSG00000143774, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000118271, ENSG00000123836, ENSG00000131495, ENSG00000187097, ENSG00000261052, ENSG00000088682, ENSG00000101126, ENSG00000111775, ENSG00000121691, ENSG00000119013, ENSG00000125877	1030	200	3254	1.579611650485437	2.884232764681638E-4	4.120841926136265E-5	8.231077373022089E-5
GOTERM_BP_ALL	GO:0009259~ribonucleotide metabolic process	94	8.63970588235294	8.377540362099797E-8	ENSG00000109971, ENSG00000115286, ENSG00000166136, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000160194, ENSG00000126267, ENSG00000114779, ENSG00000168653, ENSG00000156110, ENSG00000165140, ENSG00000111640, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000145494, ENSG00000165704, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000165609, ENSG00000164708, ENSG00000114353, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000099624, ENSG00000163655, ENSG00000139180, ENSG00000162368, ENSG00000162813, ENSG00000100604, ENSG00000178921, ENSG00000171723, ENSG00000198668, ENSG00000065518, ENSG00000075239, ENSG00000075711, ENSG00000267855, ENSG00000004779, ENSG00000159131, ENSG00000244005, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000197165, ENSG00000131016, ENSG00000115263, ENSG00000127125, ENSG00000167863, ENSG00000239672, ENSG00000067225, ENSG00000067057, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000152234, ENSG00000147684, ENSG00000156467, ENSG00000095002, ENSG00000140990, ENSG00000196502, ENSG00000143774, ENSG00000105220, ENSG00000164405, ENSG00000167792, ENSG00000079739, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000073578, ENSG00000123836, ENSG00000131495, ENSG00000128050, ENSG00000184752, ENSG00000011052, ENSG00000187097, ENSG00000092054, ENSG00000261052, ENSG00000198682, ENSG00000084774, ENSG00000088682, ENSG00000239900, ENSG00000101126, ENSG00000164258, ENSG00000173597, ENSG00000111775, ENSG00000171314, ENSG00000131143, ENSG00000119013, ENSG00000125877, ENSG00000115944	1030	187	3254	1.5880587716110275	5.774646351975887E-4	7.220132237351073E-5	1.648216959693194E-4
GOTERM_BP_ALL	GO:0009150~purine ribonucleotide metabolic process	92	8.455882352941178	8.441000717247176E-8	ENSG00000109971, ENSG00000115286, ENSG00000166136, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000160194, ENSG00000126267, ENSG00000114779, ENSG00000168653, ENSG00000156110, ENSG00000165140, ENSG00000111640, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000145494, ENSG00000165704, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000165609, ENSG00000164708, ENSG00000114353, ENSG00000074800, ENSG00000170906, ENSG00000099795, ENSG00000099624, ENSG00000163655, ENSG00000139180, ENSG00000162813, ENSG00000100604, ENSG00000178921, ENSG00000171723, ENSG00000198668, ENSG00000065518, ENSG00000075239, ENSG00000075711, ENSG00000267855, ENSG00000004779, ENSG00000159131, ENSG00000244005, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000197165, ENSG00000131016, ENSG00000115263, ENSG00000127125, ENSG00000167863, ENSG00000239672, ENSG00000067225, ENSG00000067057, ENSG00000155850, ENSG00000135318, ENSG00000198931, ENSG00000134333, ENSG00000152234, ENSG00000147684, ENSG00000156467, ENSG00000095002, ENSG00000140990, ENSG00000196502, ENSG00000143774, ENSG00000105220, ENSG00000164405, ENSG00000167792, ENSG00000079739, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000073578, ENSG00000123836, ENSG00000131495, ENSG00000128050, ENSG00000184752, ENSG00000011052, ENSG00000187097, ENSG00000092054, ENSG00000261052, ENSG00000198682, ENSG00000088682, ENSG00000239900, ENSG00000101126, ENSG00000164258, ENSG00000173597, ENSG00000111775, ENSG00000171314, ENSG00000131143, ENSG00000119013, ENSG00000125877, ENSG00000115944	1030	182	3254	1.5969700202709909	5.818376910146084E-4	6.466535624460867E-5	1.6607022899073343E-4
GOTERM_BP_ALL	GO:1901135~carbohydrate derivative metabolic process	159	14.613970588235295	9.253608003538427E-8	ENSG00000196139, ENSG00000109971, ENSG00000115286, ENSG00000158467, ENSG00000171124, ENSG00000181523, ENSG00000166136, ENSG00000177830, ENSG00000198856, ENSG00000055955, ENSG00000165475, ENSG00000055957, ENSG00000139433, ENSG00000167363, ENSG00000160194, ENSG00000114779, ENSG00000126267, ENSG00000156110, ENSG00000168610, ENSG00000158864, ENSG00000035687, ENSG00000165704, ENSG00000168710, ENSG00000140650, ENSG00000178127, ENSG00000135940, ENSG00000164708, ENSG00000125458, ENSG00000114353, ENSG00000128228, ENSG00000070526, ENSG00000165092, ENSG00000152642, ENSG00000099624, ENSG00000197746, ENSG00000162368, ENSG00000139180, ENSG00000106809, ENSG00000100604, ENSG00000099810, ENSG00000171723, ENSG00000138069, ENSG00000198668, ENSG00000075711, ENSG00000075239, ENSG00000168393, ENSG00000159131, ENSG00000244005, ENSG00000100938, ENSG00000105953, ENSG00000111669, ENSG00000169764, ENSG00000153574, ENSG00000115263, ENSG00000213614, ENSG00000167863, ENSG00000239672, ENSG00000196743, ENSG00000067057, ENSG00000170266, ENSG00000152234, ENSG00000120697, ENSG00000137801, ENSG00000147684, ENSG00000095002, ENSG00000145439, ENSG00000173402, ENSG00000105220, ENSG00000164405, ENSG00000079739, ENSG00000179163, ENSG00000167792, ENSG00000117143, ENSG00000159921, ENSG00000115275, ENSG00000073578, ENSG00000128050, ENSG00000011052, ENSG00000184752, ENSG00000008438, ENSG00000092054, ENSG00000198682, ENSG00000084774, ENSG00000239900, ENSG00000164258, ENSG00000173597, ENSG00000171848, ENSG00000171314, ENSG00000131143, ENSG00000115944, ENSG00000001036, ENSG00000025708, ENSG00000167325, ENSG00000178741, ENSG00000198585, ENSG00000105679, ENSG00000168653, ENSG00000118705, ENSG00000124155, ENSG00000165140, ENSG00000111640, ENSG00000100632, ENSG00000182492, ENSG00000198951, ENSG00000145494, ENSG00000198814, ENSG00000113552, ENSG00000112699, ENSG00000154723, ENSG00000165609, ENSG00000074800, ENSG00000170906, ENSG00000187446, ENSG00000099795, ENSG00000163655, ENSG00000162813, ENSG00000178921, ENSG00000064601, ENSG00000038427, ENSG00000065518, ENSG00000267855, ENSG00000262655, ENSG00000011465, ENSG00000004779, ENSG00000197165, ENSG00000131016, ENSG00000127125, ENSG00000067225, ENSG00000163931, ENSG00000148773, ENSG00000135318, ENSG00000155850, ENSG00000100299, ENSG00000134333, ENSG00000198931, ENSG00000169919, ENSG00000128951, ENSG00000156467, ENSG00000109814, ENSG00000196502, ENSG00000140990, ENSG00000143774, ENSG00000085662, ENSG00000164919, ENSG00000167283, ENSG00000147162, ENSG00000123836, ENSG00000135677, ENSG00000131495, ENSG00000187097, ENSG00000261052, ENSG00000169738, ENSG00000088682, ENSG00000101126, ENSG00000178802, ENSG00000111775, ENSG00000119013, ENSG00000198074, ENSG00000125877	1030	358	3254	1.4031187286434885	6.378327993861177E-4	6.380159471808255E-5	1.8205764152900983E-4
