Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_ALL	GO:0005615~extracellular space	162	14.88970588	4.08E-09	"ENSG00000109971, ENSG00000131171, ENSG00000177830, ENSG00000148346, ENSG00000055955, ENSG00000111331, ENSG00000055957, ENSG00000143416, ENSG00000015413, ENSG00000167701, ENSG00000115380, ENSG00000038002, ENSG00000172236, ENSG00000157131, ENSG00000115414, ENSG00000219073, ENSG00000257017, ENSG00000172232, ENSG00000116260, ENSG00000079557, ENSG00000104774, ENSG00000229314, ENSG00000143546, ENSG00000166145, ENSG00000189171, ENSG00000119681, ENSG00000123992, ENSG00000184730, ENSG00000171236, ENSG00000111799, ENSG00000142789, ENSG00000124491, ENSG00000012223, ENSG00000197746, ENSG00000228278, ENSG00000100604, ENSG00000106809, ENSG00000224389, ENSG00000196415, ENSG00000130638, ENSG00000111669, ENSG00000115263, ENSG00000128322, ENSG00000113140, ENSG00000160862, ENSG00000170266, ENSG00000115677, ENSG00000163815, ENSG00000143321, ENSG00000117984, ENSG00000137801, ENSG00000030582, ENSG00000173402, ENSG00000105220, ENSG00000104324, ENSG00000133318, ENSG00000087191, ENSG00000103811, ENSG00000126432, ENSG00000163131, ENSG00000128311, ENSG00000118137, ENSG00000149418, ENSG00000101160, ENSG00000160180, ENSG00000206047, ENSG00000160182, ENSG00000172831, ENSG00000158874, ENSG00000189058, ENSG00000135052, ENSG00000172828, ENSG00000211445, ENSG00000102837, ENSG00000133110, ENSG00000125107, ENSG00000108582, ENSG00000001036, ENSG00000124469, ENSG00000164047, ENSG00000127616, ENSG00000071282, ENSG00000104805, ENSG00000206075, ENSG00000138207, ENSG00000168961, ENSG00000014641, ENSG00000135404, ENSG00000275896, ENSG00000113889, ENSG00000115457, ENSG00000197561, ENSG00000145192, ENSG00000159231, ENSG00000130508, ENSG00000137575, ENSG00000074800, ENSG00000171560, ENSG00000077942, ENSG00000026297, ENSG00000197903, ENSG00000104537, ENSG00000171564, ENSG00000182326, ENSG00000120708, ENSG00000143196, ENSG00000104267, ENSG00000163751, ENSG00000163938, ENSG00000169896, ENSG00000121053, ENSG00000038427, ENSG00000084207, ENSG00000243480, ENSG00000116977, ENSG00000150779, ENSG00000262655, ENSG00000162896, ENSG00000011465, ENSG00000016490, ENSG00000163220, ENSG00000261701, ENSG00000147274, ENSG00000084674, ENSG00000100292, ENSG00000105699, ENSG00000142910, ENSG00000117601, ENSG00000170099, ENSG00000142615, ENSG00000166710, ENSG00000100985, ENSG00000100299, ENSG00000169919, ENSG00000021852, ENSG00000109861, ENSG00000109610, ENSG00000148218, ENSG00000239839, ENSG00000102265, ENSG00000041982, ENSG00000131096, ENSG00000085662, ENSG00000149257, ENSG00000118271, ENSG00000164733, ENSG00000254709, ENSG00000129988, ENSG00000142168, ENSG00000166165, ENSG00000123838, ENSG00000117394, ENSG00000110244, ENSG00000204291, ENSG00000137710, ENSG00000145321, ENSG00000090382, ENSG00000158373, ENSG00000101126, ENSG00000112818, ENSG00000121691, ENSG00000166825"	1056	355	3357	1.45068822	3.88E-06	3.88E-06	6.41E-06
GOTERM_CC_ALL	GO:0005775~vacuolar lumen	35	3.216911765	4.07E-07	"ENSG00000109971, ENSG00000181523, ENSG00000084674, ENSG00000213614, ENSG00000196743, ENSG00000170266, ENSG00000166710, ENSG00000100299, ENSG00000182492, ENSG00000216490, ENSG00000117984, ENSG00000169919, ENSG00000135404, ENSG00000104774, ENSG00000239839, ENSG00000179163, ENSG00000134575, ENSG00000103811, ENSG00000164733, ENSG00000163131, ENSG00000138744, ENSG00000135677, ENSG00000026297, ENSG00000145321, ENSG00000206047, ENSG00000197746, ENSG00000106809, ENSG00000171298, ENSG00000239264, ENSG00000100600, ENSG00000138760, ENSG00000163754, ENSG00000064601, ENSG00000038427, ENSG00000011465"	1056	52	3357	2.139696241	3.87E-04	1.94E-04	6.39E-04
GOTERM_CC_ALL	GO:0043202~lysosomal lumen	29	2.665441176	5.00E-06	"ENSG00000109971, ENSG00000181523, ENSG00000213614, ENSG00000196743, ENSG00000170266, ENSG00000100299, ENSG00000182492, ENSG00000216490, ENSG00000169919, ENSG00000117984, ENSG00000104774, ENSG00000179163, ENSG00000134575, ENSG00000164733, ENSG00000163131, ENSG00000135677, ENSG00000026297, ENSG00000138744, ENSG00000145321, ENSG00000197746, ENSG00000171298, ENSG00000106809, ENSG00000239264, ENSG00000100600, ENSG00000138760, ENSG00000163754, ENSG00000064601, ENSG00000038427, ENSG00000011465"	1056	43	3357	2.143961416	0.00474274	0.001583419	0.007847339
GOTERM_CC_ALL	GO:0098803~respiratory chain complex	27	2.481617647	4.11E-05	"ENSG00000115286, ENSG00000166136, ENSG00000178741, ENSG00000160194, ENSG00000168653, ENSG00000147684, ENSG00000158864, ENSG00000156467, ENSG00000140990, ENSG00000145494, ENSG00000164405, ENSG00000167792, ENSG00000178127, ENSG00000135940, ENSG00000073578, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000099795, ENSG00000139180, ENSG00000164258, ENSG00000065518, ENSG00000111775, ENSG00000267855, ENSG00000131143, ENSG00000119013, ENSG00000004779"	1056	42	3357	2.043628247	0.038319546	0.009720708	0.064478585
GOTERM_CC_ALL	GO:0005747~mitochondrial respiratory chain complex I	20	1.838235294	7.58E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1056	28	3357	2.270698052	0.069535386	0.014310859	0.118899998
GOTERM_CC_ALL	GO:0045271~respiratory chain complex I	20	1.838235294	7.58E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1056	28	3357	2.270698052	0.069535386	0.014310859	0.118899998
GOTERM_CC_ALL	GO:0030964~NADH dehydrogenase complex	20	1.838235294	7.58E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1056	28	3357	2.270698052	0.069535386	0.014310859	0.118899998
GOTERM_CC_ALL	GO:0005746~mitochondrial respiratory chain	28	2.573529412	1.10E-04	"ENSG00000115286, ENSG00000166136, ENSG00000178741, ENSG00000160194, ENSG00000168653, ENSG00000147684, ENSG00000158864, ENSG00000156467, ENSG00000140990, ENSG00000145494, ENSG00000164405, ENSG00000167792, ENSG00000178127, ENSG00000135940, ENSG00000073578, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000099795, ENSG00000139180, ENSG00000164258, ENSG00000065518, ENSG00000111775, ENSG00000267855, ENSG00000131143, ENSG00000119013, ENSG00000004779, ENSG00000115944"	1056	46	3357	1.935029644	0.099211621	0.017263404	0.172328601
GOTERM_CC_ALL	GO:0005576~extracellular region	531	48.80514706	2.02E-04	"ENSG00000171124, ENSG00000080493, ENSG00000169139, ENSG00000176658, ENSG00000091128, ENSG00000144908, ENSG00000111331, ENSG00000128833, ENSG00000015413, ENSG00000024422, ENSG00000167701, ENSG00000120437, ENSG00000099246, ENSG00000163586, ENSG00000140284, ENSG00000117122, ENSG00000078140, ENSG00000127824, ENSG00000133742, ENSG00000156575, ENSG00000165704, ENSG00000167996, ENSG00000119681, ENSG00000167165, ENSG00000171236, ENSG00000087086, ENSG00000165092, ENSG00000171234, ENSG00000197746, ENSG00000106066, ENSG00000224389, ENSG00000170476, ENSG00000136888, ENSG00000130638, ENSG00000100284, ENSG00000127831, ENSG00000131779, ENSG00000167863, ENSG00000113140, ENSG00000128322, ENSG00000173486, ENSG00000067057, ENSG00000167969, ENSG00000170266, ENSG00000100889, ENSG00000136754, ENSG00000216490, ENSG00000137801, ENSG00000103490, ENSG00000133627, ENSG00000164062, ENSG00000215021, ENSG00000167193, ENSG00000079739, ENSG00000087191, ENSG00000120694, ENSG00000163563, ENSG00000182919, ENSG00000116791, ENSG00000128050, ENSG00000128311, ENSG00000176788, ENSG00000008438, ENSG00000127955, ENSG00000128595, ENSG00000177675, ENSG00000100266, ENSG00000171314, ENSG00000133731, ENSG00000001036, ENSG00000106299, ENSG00000104805, ENSG00000178741, ENSG00000111237, ENSG00000101825, ENSG00000197043, ENSG00000198561, ENSG00000131508, ENSG00000165140, ENSG00000152952, ENSG00000135069, ENSG00000014641, ENSG00000198951, ENSG00000136450, ENSG00000198814, ENSG00000075415, ENSG00000064787, ENSG00000079819, ENSG00000074800, ENSG00000162517, ENSG00000153207, ENSG00000163938, ENSG00000104267, ENSG00000132507, ENSG00000121053, ENSG00000084207, ENSG00000179914, ENSG00000262655, ENSG00000011465, ENSG00000147274, ENSG00000175582, ENSG00000100292, ENSG00000121579, ENSG00000092964, ENSG00000142910, ENSG00000176978, ENSG00000067225, ENSG00000163931, ENSG00000170099, ENSG00000166710, ENSG00000100299, ENSG00000100985, ENSG00000198931, ENSG00000128951, ENSG00000169919, ENSG00000109861, ENSG00000163520, ENSG00000021852, ENSG00000189334, ENSG00000148218, ENSG00000185236, ENSG00000102265, ENSG00000100983, ENSG00000122694, ENSG00000184007, ENSG00000198431, ENSG00000167283, ENSG00000142168, ENSG00000137713, ENSG00000064666, ENSG00000110244, ENSG00000204291, ENSG00000117394, ENSG00000137710, ENSG00000185627, ENSG00000169738, ENSG00000047849, ENSG00000166825, ENSG00000126522, ENSG00000166228, ENSG00000143862, ENSG00000181523, ENSG00000138448, ENSG00000148346, ENSG00000139433, ENSG00000083444, ENSG00000102189, ENSG00000114779, ENSG00000172037, ENSG00000172236, ENSG00000219073, ENSG00000257017, ENSG00000172232, ENSG00000070214, ENSG00000172955, ENSG00000122545, ENSG00000158764, ENSG00000079557, ENSG00000135940, ENSG00000166145, ENSG00000125458, ENSG00000108055, ENSG00000135842, ENSG00000254505, ENSG00000152642, ENSG00000142789, ENSG00000102172, ENSG00000162368, ENSG00000136010, ENSG00000155657, ENSG00000196415, ENSG00000198668, ENSG00000079462, ENSG00000075711, ENSG00000173221, ENSG00000169764, ENSG00000169385, ENSG00000108578, ENSG00000162438, ENSG00000105223, ENSG00000135624, ENSG00000130193, ENSG00000196743, ENSG00000142949, ENSG00000117054, ENSG00000108187, ENSG00000163815, ENSG00000049540, ENSG00000145703, ENSG00000117984, ENSG00000109332, ENSG00000030582, ENSG00000173402, ENSG00000105220, ENSG00000136824, ENSG00000138413, ENSG00000155368, ENSG00000143891, ENSG00000163131, ENSG00000118137, ENSG00000078902, ENSG00000206047, ENSG00000172831, ENSG00000158874, ENSG00000135052, ENSG00000239264, ENSG00000211445, ENSG00000102837, ENSG00000172828, ENSG00000142864, ENSG00000125107, ENSG00000108582, ENSG00000164047, ENSG00000140374, ENSG00000206075, ENSG00000116473, ENSG00000151923, ENSG00000116171, ENSG00000138207, ENSG00000198612, ENSG00000182492, ENSG00000142089, ENSG00000142875, ENSG00000136930, ENSG00000135404, ENSG00000275896, ENSG00000145192, ENSG00000016602, ENSG00000112699, ENSG00000103769, ENSG00000165609, ENSG00000171560, ENSG00000042493, ENSG00000108828, ENSG00000171564, ENSG00000187446, ENSG00000164039, ENSG00000182326, ENSG00000213639, ENSG00000136111, ENSG00000169994, ENSG00000158793, ENSG00000163751, ENSG00000163754, ENSG00000164237, ENSG00000064601, ENSG00000169896, ENSG00000038427, ENSG00000078114, ENSG00000116977, ENSG00000162896, ENSG00000072210, ENSG00000261701, ENSG00000108439, ENSG00000124207, ENSG00000103381, ENSG00000084674, ENSG00000117601, ENSG00000142615, ENSG00000169347, ENSG00000102886, ENSG00000181019, ENSG00000006625, ENSG00000070371, ENSG00000085662, ENSG00000147164, ENSG00000185432, ENSG00000157500, ENSG00000118271, ENSG00000172023, ENSG00000196776, ENSG00000162482, ENSG00000129988, ENSG00000166165, ENSG00000135677, ENSG00000171298, ENSG00000148834, ENSG00000108039, ENSG00000198643, ENSG00000137509, ENSG00000039537, ENSG00000120265, ENSG00000205542, ENSG00000055955, ENSG00000165475, ENSG00000055957, ENSG00000143416, ENSG00000115380, ENSG00000115386, ENSG00000124214, ENSG00000038002, ENSG00000115694, ENSG00000115414, ENSG00000157131, ENSG00000150540, ENSG00000116260, ENSG00000149260, ENSG00000035687, ENSG00000174748, ENSG00000075142, ENSG00000258947, ENSG00000070087, ENSG00000143546, ENSG00000163468, ENSG00000168710, ENSG00000140650, ENSG00000143545, ENSG00000189171, ENSG00000164708, ENSG00000123992, ENSG00000117115, ENSG00000143549, ENSG00000184730, ENSG00000126067, ENSG00000096696, ENSG00000228278, ENSG00000171530, ENSG00000075239, ENSG00000157020, ENSG00000120053, ENSG00000035403, ENSG00000075234, ENSG00000177106, ENSG00000115263, ENSG00000213614, ENSG00000115677, ENSG00000071127, ENSG00000160862, ENSG00000241553, ENSG00000174243, ENSG00000161618, ENSG00000104324, ENSG00000168259, ENSG00000126432, ENSG00000134028, ENSG00000002549, ENSG00000031698, ENSG00000115275, ENSG00000011052, ENSG00000160180, ENSG00000160182, ENSG00000063854, ENSG00000132470, ENSG00000189058, ENSG00000084774, ENSG00000111737, ENSG00000104419, ENSG00000162390, ENSG00000104687, ENSG00000071282, ENSG00000138698, ENSG00000124802, ENSG00000161011, ENSG00000168961, ENSG00000111640, ENSG00000161960, ENSG00000124942, ENSG00000113889, ENSG00000123416, ENSG00000115457, ENSG00000197561, ENSG00000174992, ENSG00000124253, ENSG00000137575, ENSG00000135486, ENSG00000077942, ENSG00000026297, ENSG00000104537, ENSG00000134755, ENSG00000107223, ENSG00000092531, ENSG00000162813, ENSG00000143196, ENSG00000065518, ENSG00000163221, ENSG00000163220, ENSG00000016490, ENSG00000070961, ENSG00000176014, ENSG00000164904, ENSG00000065534, ENSG00000165457, ENSG00000107798, ENSG00000168291, ENSG00000105699, ENSG00000155850, ENSG00000135318, ENSG00000134333, ENSG00000143167, ENSG00000102575, ENSG00000092009, ENSG00000157193, ENSG00000100316, ENSG00000239839, ENSG00000041982, ENSG00000149257, ENSG00000051620, ENSG00000131100, ENSG00000254709, ENSG00000107789, ENSG00000123838, ENSG00000115561, ENSG00000187097, ENSG00000160948, ENSG00000186652, ENSG00000198074, ENSG00000196139, ENSG00000109971, ENSG00000114978, ENSG00000131171, ENSG00000177830, ENSG00000049323, ENSG00000125743, ENSG00000079689, ENSG00000104388, ENSG00000175198, ENSG00000132561, ENSG00000065427, ENSG00000131037, ENSG00000243989, ENSG00000104774, ENSG00000229314, ENSG00000114353, ENSG00000111799, ENSG00000159713, ENSG00000012223, ENSG00000124491, ENSG00000100604, ENSG00000106809, ENSG00000007168, ENSG00000099810, ENSG00000132698, ENSG00000100600, ENSG00000138069, ENSG00000138760, ENSG00000115484, ENSG00000138668, ENSG00000054219, ENSG00000186340, ENSG00000138663, ENSG00000159131, ENSG00000164687, ENSG00000111669, ENSG00000239672, ENSG00000187242, ENSG00000152234, ENSG00000143321, ENSG00000223572, ENSG00000117472, ENSG00000147684, ENSG00000133313, ENSG00000153904, ENSG00000112245, ENSG00000133318, ENSG00000179163, ENSG00000134575, ENSG00000111679, ENSG00000038274, ENSG00000121064, ENSG00000103811, ENSG00000138185, ENSG00000101162, ENSG00000138744, ENSG00000149418, ENSG00000101160, ENSG00000119711, ENSG00000109846, ENSG00000133110, ENSG00000125835, ENSG00000213281, ENSG00000140105, ENSG00000243955, ENSG00000149218, ENSG00000131143, ENSG00000015475, ENSG00000127616, ENSG00000124469, ENSG00000167434, ENSG00000167325, ENSG00000071082, ENSG00000103966, ENSG00000113558, ENSG00000159228, ENSG00000113552, ENSG00000159231, ENSG00000005884, ENSG00000130508, ENSG00000213366, ENSG00000197903, ENSG00000103876, ENSG00000178921, ENSG00000120708, ENSG00000101000, ENSG00000243480, ENSG00000113407, ENSG00000150779, ENSG00000138777, ENSG00000233276, ENSG00000130300, ENSG00000111144, ENSG00000127125, ENSG00000154277, ENSG00000072062, ENSG00000117335, ENSG00000106853, ENSG00000125868, ENSG00000124767, ENSG00000109814, ENSG00000138772, ENSG00000140990, ENSG00000109610, ENSG00000196352, ENSG00000105612, ENSG00000131096, ENSG00000164733, ENSG00000006747, ENSG00000145321, ENSG00000186469, ENSG00000197614, ENSG00000057608, ENSG00000069535, ENSG00000090382, ENSG00000158373, ENSG00000167748, ENSG00000101126, ENSG00000178802, ENSG00000117228, ENSG00000172531, ENSG00000121691, ENSG00000112818, ENSG00000119013"	1056	1534	3357	1.10041521	0.174806092	0.027074849	0.316665252
GOTERM_CC_ALL	GO:0070469~respiratory chain	28	2.573529412	2.93E-04	"ENSG00000115286, ENSG00000166136, ENSG00000178741, ENSG00000160194, ENSG00000168653, ENSG00000147684, ENSG00000158864, ENSG00000156467, ENSG00000140990, ENSG00000145494, ENSG00000164405, ENSG00000167792, ENSG00000178127, ENSG00000135940, ENSG00000073578, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000099795, ENSG00000139180, ENSG00000164258, ENSG00000065518, ENSG00000111775, ENSG00000267855, ENSG00000131143, ENSG00000119013, ENSG00000004779, ENSG00000115944"	1056	48	3357	1.854403409	0.243354899	0.034257091	0.459268571
