Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_ALL	GO:0003824~catalytic activity	569	52.29779412	9.06E-11	"ENSG00000091127, ENSG00000171124, ENSG00000169139, ENSG00000176658, ENSG00000156587, ENSG00000144908, ENSG00000111331, ENSG00000128833, ENSG00000015413, ENSG00000024422, ENSG00000242515, ENSG00000167701, ENSG00000120437, ENSG00000147010, ENSG00000099246, ENSG00000140284, ENSG00000133742, ENSG00000078140, ENSG00000127824, ENSG00000034152, ENSG00000183486, ENSG00000165704, ENSG00000167996, ENSG00000131747, ENSG00000167165, ENSG00000198721, ENSG00000196296, ENSG00000165092, ENSG00000109654, ENSG00000171234, ENSG00000186298, ENSG00000106066, ENSG00000224389, ENSG00000136888, ENSG00000100938, ENSG00000165732, ENSG00000100883, ENSG00000153574, ENSG00000100749, ENSG00000103342, ENSG00000167863, ENSG00000086475, ENSG00000173486, ENSG00000067057, ENSG00000167969, ENSG00000170266, ENSG00000100889, ENSG00000074410, ENSG00000120697, ENSG00000216490, ENSG00000074416, ENSG00000103490, ENSG00000095002, ENSG00000164062, ENSG00000119471, ENSG00000079739, ENSG00000156958, ENSG00000117143, ENSG00000087191, ENSG00000253729, ENSG00000167186, ENSG00000182919, ENSG00000073578, ENSG00000111300, ENSG00000116791, ENSG00000198604, ENSG00000128050, ENSG00000128311, ENSG00000138496, ENSG00000066926, ENSG00000008438, ENSG00000127955, ENSG00000166866, ENSG00000173599, ENSG00000173597, ENSG00000100266, ENSG00000171314, ENSG00000133731, ENSG00000001036, ENSG00000021826, ENSG00000178741, ENSG00000173327, ENSG00000131508, ENSG00000086696, ENSG00000165140, ENSG00000152952, ENSG00000135069, ENSG00000144959, ENSG00000014641, ENSG00000198951, ENSG00000088205, ENSG00000198814, ENSG00000060069, ENSG00000074800, ENSG00000166741, ENSG00000100813, ENSG00000162517, ENSG00000172340, ENSG00000163655, ENSG00000138814, ENSG00000104267, ENSG00000163938, ENSG00000121053, ENSG00000084207, ENSG00000153201, ENSG00000197165, ENSG00000175582, ENSG00000100292, ENSG00000121579, ENSG00000092964, ENSG00000142910, ENSG00000131730, ENSG00000176978, ENSG00000067225, ENSG00000163931, ENSG00000100299, ENSG00000100985, ENSG00000198931, ENSG00000156709, ENSG00000128951, ENSG00000169919, ENSG00000100297, ENSG00000119431, ENSG00000156467, ENSG00000109861, ENSG00000198836, ENSG00000148218, ENSG00000185236, ENSG00000131828, ENSG00000166816, ENSG00000100983, ENSG00000110090, ENSG00000184007, ENSG00000198431, ENSG00000167283, ENSG00000159423, ENSG00000142168, ENSG00000137996, ENSG00000169738, ENSG00000171497, ENSG00000166825, ENSG00000126522, ENSG00000166228, ENSG00000174173, ENSG00000096063, ENSG00000143862, ENSG00000166136, ENSG00000181523, ENSG00000198856, ENSG00000083444, ENSG00000114779, ENSG00000135220, ENSG00000172236, ENSG00000142230, ENSG00000219073, ENSG00000257017, ENSG00000172232, ENSG00000158864, ENSG00000108592, ENSG00000172955, ENSG00000162961, ENSG00000125246, ENSG00000196616, ENSG00000135372, ENSG00000135940, ENSG00000125458, ENSG00000108055, ENSG00000152642, ENSG00000142789, ENSG00000102172, ENSG00000162368, ENSG00000136010, ENSG00000170004, ENSG00000155657, ENSG00000196415, ENSG00000198668, ENSG00000079462, ENSG00000075711, ENSG00000168393, ENSG00000173221, ENSG00000068654, ENSG00000169764, ENSG00000169385, ENSG00000108578, ENSG00000169093, ENSG00000162438, ENSG00000105223, ENSG00000173821, ENSG00000112640, ENSG00000049541, ENSG00000196743, ENSG00000142949, ENSG00000117054, ENSG00000108187, ENSG00000204843, ENSG00000117984, ENSG00000109332, ENSG00000105220, ENSG00000083520, ENSG00000189369, ENSG00000138413, ENSG00000143891, ENSG00000188612, ENSG00000163131, ENSG00000172831, ENSG00000092054, ENSG00000198682, ENSG00000130816, ENSG00000239264, ENSG00000211445, ENSG00000102837, ENSG00000172828, ENSG00000164258, ENSG00000125107, ENSG00000108582, ENSG00000115944, ENSG00000141756, ENSG00000140374, ENSG00000116473, ENSG00000122884, ENSG00000089737, ENSG00000116171, ENSG00000197892, ENSG00000105205, ENSG00000171989, ENSG00000213782, ENSG00000142875, ENSG00000136930, ENSG00000275896, ENSG00000163840, ENSG00000037474, ENSG00000016602, ENSG00000143819, ENSG00000112699, ENSG00000103769, ENSG00000165609, ENSG00000067829, ENSG00000197888, ENSG00000108828, ENSG00000170906, ENSG00000164039, ENSG00000182326, ENSG00000213639, ENSG00000169994, ENSG00000158793, ENSG00000163751, ENSG00000163754, ENSG00000164237, ENSG00000064601, ENSG00000168906, ENSG00000267855, ENSG00000072210, ENSG00000261701, ENSG00000108439, ENSG00000132153, ENSG00000103381, ENSG00000248144, ENSG00000142615, ENSG00000102886, ENSG00000181019, ENSG00000196502, ENSG00000006625, ENSG00000116062, ENSG00000085662, ENSG00000108984, ENSG00000185432, ENSG00000147162, ENSG00000162482, ENSG00000242366, ENSG00000166165, ENSG00000135677, ENSG00000108846, ENSG00000148834, ENSG00000171298, ENSG00000108039, ENSG00000060971, ENSG00000247077, ENSG00000213759, ENSG00000137509, ENSG00000115286, ENSG00000120265, ENSG00000184640, ENSG00000165475, ENSG00000173992, ENSG00000115380, ENSG00000149269, ENSG00000160194, ENSG00000038002, ENSG00000115694, ENSG00000150540, ENSG00000116260, ENSG00000149260, ENSG00000035687, ENSG00000075142, ENSG00000258947, ENSG00000140795, ENSG00000178127, ENSG00000168710, ENSG00000140650, ENSG00000143545, ENSG00000120254, ENSG00000164708, ENSG00000123992, ENSG00000009954, ENSG00000107937, ENSG00000117115, ENSG00000126067, ENSG00000161513, ENSG00000173193, ENSG00000148090, ENSG00000070669, ENSG00000099624, ENSG00000124226, ENSG00000171723, ENSG00000171824, ENSG00000075239, ENSG00000120053, ENSG00000124228, ENSG00000107758, ENSG00000213614, ENSG00000160862, ENSG00000174243, ENSG00000161618, ENSG00000070785, ENSG00000010327, ENSG00000122971, ENSG00000104324, ENSG00000154237, ENSG00000132382, ENSG00000107959, ENSG00000126432, ENSG00000134028, ENSG00000174437, ENSG00000002549, ENSG00000031698, ENSG00000115275, ENSG00000164305, ENSG00000171503, ENSG00000149782, ENSG00000011052, ENSG00000184752, ENSG00000161533, ENSG00000059377, ENSG00000072506, ENSG00000063854, ENSG00000100462, ENSG00000084774, ENSG00000134240, ENSG00000239900, ENSG00000111737, ENSG00000042445, ENSG00000171848, ENSG00000162390, ENSG00000161544, ENSG00000025708, ENSG00000104687, ENSG00000154358, ENSG00000198585, ENSG00000105679, ENSG00000236334, ENSG00000168653, ENSG00000124802, ENSG00000161011, ENSG00000111642, ENSG00000123130, ENSG00000124155, ENSG00000118705, ENSG00000111640, ENSG00000111641, ENSG00000161960, ENSG00000123416, ENSG00000157601, ENSG00000125414, ENSG00000197561, ENSG00000124253, ENSG00000172890, ENSG00000154723, ENSG00000026297, ENSG00000132591, ENSG00000107223, ENSG00000099795, ENSG00000077232, ENSG00000162813, ENSG00000116701, ENSG00000221914, ENSG00000178462, ENSG00000065518, ENSG00000099998, ENSG00000016490, ENSG00000070961, ENSG00000168883, ENSG00000176014, ENSG00000164904, ENSG00000065534, ENSG00000107798, ENSG00000168291, ENSG00000154330, ENSG00000135318, ENSG00000134333, ENSG00000102575, ENSG00000092009, ENSG00000126107, ENSG00000143774, ENSG00000164919, ENSG00000131100, ENSG00000107789, ENSG00000123836, ENSG00000143375, ENSG00000175029, ENSG00000187097, ENSG00000160808, ENSG00000261052, ENSG00000152086, ENSG00000080603, ENSG00000111775, ENSG00000161267, ENSG00000198074, ENSG00000157184, ENSG00000196139, ENSG00000109971, ENSG00000158467, ENSG00000177830, ENSG00000049323, ENSG00000114054, ENSG00000167363, ENSG00000180185, ENSG00000126267, ENSG00000104388, ENSG00000156110, ENSG00000175198, ENSG00000152256, ENSG00000065427, ENSG00000131037, ENSG00000243989, ENSG00000104774, ENSG00000114353, ENSG00000128228, ENSG00000070526, ENSG00000125656, ENSG00000115211, ENSG00000012223, ENSG00000124491, ENSG00000139180, ENSG00000104375, ENSG00000007168, ENSG00000099810, ENSG00000100600, ENSG00000138069, ENSG00000180370, ENSG00000112118, ENSG00000138663, ENSG00000244005, ENSG00000159131, ENSG00000105953, ENSG00000111669, ENSG00000055332, ENSG00000239672, ENSG00000179958, ENSG00000152234, ENSG00000109854, ENSG00000223572, ENSG00000147684, ENSG00000133313, ENSG00000105755, ENSG00000160710, ENSG00000153904, ENSG00000008394, ENSG00000145439, ENSG00000112245, ENSG00000164405, ENSG00000166508, ENSG00000167792, ENSG00000167107, ENSG00000179163, ENSG00000004700, ENSG00000134575, ENSG00000111679, ENSG00000159921, ENSG00000121064, ENSG00000103811, ENSG00000138185, ENSG00000101162, ENSG00000138744, ENSG00000072778, ENSG00000149418, ENSG00000204427, ENSG00000101160, ENSG00000101294, ENSG00000119711, ENSG00000176454, ENSG00000183010, ENSG00000167114, ENSG00000119414, ENSG00000198363, ENSG00000140105, ENSG00000243955, ENSG00000149218, ENSG00000131143, ENSG00000125971, ENSG00000167434, ENSG00000127616, ENSG00000105879, ENSG00000167325, ENSG00000133835, ENSG00000176387, ENSG00000131462, ENSG00000157680, ENSG00000113558, ENSG00000166562, ENSG00000159228, ENSG00000145494, ENSG00000138794, ENSG00000113552, ENSG00000159231, ENSG00000130508, ENSG00000213366, ENSG00000179295, ENSG00000131471, ENSG00000127603, ENSG00000090061, ENSG00000103876, ENSG00000184470, ENSG00000178921, ENSG00000076003, ENSG00000167721, ENSG00000157379, ENSG00000137133, ENSG00000243480, ENSG00000113407, ENSG00000004779, ENSG00000131069, ENSG00000073111, ENSG00000138777, ENSG00000233276, ENSG00000163491, ENSG00000119203, ENSG00000153147, ENSG00000111144, ENSG00000127125, ENSG00000154277, ENSG00000167553, ENSG00000072062, ENSG00000081923, ENSG00000106853, ENSG00000117335, ENSG00000124767, ENSG00000109814, ENSG00000058668, ENSG00000140990, ENSG00000109610, ENSG00000100614, ENSG00000105612, ENSG00000164733, ENSG00000133703, ENSG00000131495, ENSG00000057608, ENSG00000085377, ENSG00000069535, ENSG00000090382, ENSG00000167748, ENSG00000117228, ENSG00000178802, ENSG00000172531, ENSG00000121691, ENSG00000113522, ENSG00000073737, ENSG00000112818, ENSG00000119013, ENSG00000125877"	1032	1529	3264	1.176996669	1.53E-07	1.53E-07	1.53E-07
GOTERM_MF_ALL	GO:0016491~oxidoreductase activity	132	12.13235294	1.58E-07	"ENSG00000115286, ENSG00000196139, ENSG00000166136, ENSG00000144908, ENSG00000165475, ENSG00000173992, ENSG00000083444, ENSG00000126267, ENSG00000160194, ENSG00000158864, ENSG00000116260, ENSG00000172955, ENSG00000196616, ENSG00000167996, ENSG00000135940, ENSG00000178127, ENSG00000120254, ENSG00000161513, ENSG00000165092, ENSG00000152642, ENSG00000139180, ENSG00000136010, ENSG00000173221, ENSG00000100938, ENSG00000105953, ENSG00000117054, ENSG00000216490, ENSG00000109854, ENSG00000147684, ENSG00000105755, ENSG00000161618, ENSG00000145439, ENSG00000119471, ENSG00000008394, ENSG00000122971, ENSG00000010327, ENSG00000164405, ENSG00000167792, ENSG00000167186, ENSG00000126432, ENSG00000138413, ENSG00000073578, ENSG00000116791, ENSG00000072778, ENSG00000171503, ENSG00000184752, ENSG00000119711, ENSG00000183010, ENSG00000161533, ENSG00000059377, ENSG00000072506, ENSG00000211445, ENSG00000164258, ENSG00000198363, ENSG00000042445, ENSG00000171848, ENSG00000243955, ENSG00000131143, ENSG00000115944, ENSG00000161544, ENSG00000104687, ENSG00000167325, ENSG00000140374, ENSG00000178741, ENSG00000122884, ENSG00000105679, ENSG00000133835, ENSG00000176387, ENSG00000171989, ENSG00000168653, ENSG00000086696, ENSG00000152952, ENSG00000111640, ENSG00000014641, ENSG00000159228, ENSG00000145494, ENSG00000159231, ENSG00000130508, ENSG00000213366, ENSG00000154723, ENSG00000067829, ENSG00000108828, ENSG00000170906, ENSG00000131471, ENSG00000164039, ENSG00000099795, ENSG00000184470, ENSG00000077232, ENSG00000116701, ENSG00000157379, ENSG00000121053, ENSG00000084207, ENSG00000065518, ENSG00000267855, ENSG00000004779, ENSG00000072210, ENSG00000233276, ENSG00000108439, ENSG00000164904, ENSG00000168291, ENSG00000100292, ENSG00000248144, ENSG00000134333, ENSG00000106853, ENSG00000156709, ENSG00000181019, ENSG00000109814, ENSG00000156467, ENSG00000109610, ENSG00000140990, ENSG00000131828, ENSG00000166816, ENSG00000085662, ENSG00000164919, ENSG00000198431, ENSG00000159423, ENSG00000162482, ENSG00000142168, ENSG00000131495, ENSG00000057608, ENSG00000175029, ENSG00000069535, ENSG00000148834, ENSG00000060971, ENSG00000169738, ENSG00000111775, ENSG00000121691, ENSG00000073737, ENSG00000119013, ENSG00000161267, ENSG00000166228, ENSG00000198074"	1032	288	3264	1.449612403	2.67E-04	1.33E-04	2.67E-04
GOTERM_MF_ALL	GO:0017171~serine hydrolase activity	34	3.125	9.84E-07	"ENSG00000261701, ENSG00000162438, ENSG00000176978, ENSG00000142615, ENSG00000100985, ENSG00000172236, ENSG00000144959, ENSG00000219073, ENSG00000257017, ENSG00000092009, ENSG00000172232, ENSG00000117984, ENSG00000166562, ENSG00000109861, ENSG00000164062, ENSG00000275896, ENSG00000197561, ENSG00000121064, ENSG00000103811, ENSG00000164733, ENSG00000163131, ENSG00000125656, ENSG00000149418, ENSG00000085377, ENSG00000142789, ENSG00000182326, ENSG00000012223, ENSG00000106066, ENSG00000224389, ENSG00000167748, ENSG00000064601, ENSG00000196415, ENSG00000137509, ENSG00000108582"	1032	51	3264	2.108527132	0.001654924	5.52E-04	0.001657053
GOTERM_MF_ALL	GO:0008236~serine-type peptidase activity	33	3.033088235	2.07E-06	"ENSG00000261701, ENSG00000162438, ENSG00000176978, ENSG00000142615, ENSG00000100985, ENSG00000172236, ENSG00000219073, ENSG00000257017, ENSG00000092009, ENSG00000172232, ENSG00000117984, ENSG00000166562, ENSG00000109861, ENSG00000164062, ENSG00000275896, ENSG00000197561, ENSG00000121064, ENSG00000103811, ENSG00000164733, ENSG00000163131, ENSG00000125656, ENSG00000149418, ENSG00000085377, ENSG00000142789, ENSG00000182326, ENSG00000012223, ENSG00000106066, ENSG00000224389, ENSG00000167748, ENSG00000064601, ENSG00000196415, ENSG00000137509, ENSG00000108582"	1032	50	3264	2.08744186	0.003473699	8.70E-04	0.003481308
GOTERM_MF_ALL	"GO:0016655~oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	26	2.389705882	3.08E-06	"ENSG00000196139, ENSG00000115286, ENSG00000166136, ENSG00000160194, ENSG00000168653, ENSG00000147684, ENSG00000158864, ENSG00000181019, ENSG00000145439, ENSG00000140990, ENSG00000159228, ENSG00000145494, ENSG00000167792, ENSG00000178127, ENSG00000116791, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000099795, ENSG00000139180, ENSG00000169738, ENSG00000164258, ENSG00000065518, ENSG00000267855, ENSG00000119013, ENSG00000004779"	1032	36	3264	2.284237726	0.005172504	0.001036648	0.00518821
GOTERM_MF_ALL	GO:0003954~NADH dehydrogenase activity	20	1.838235294	1.56E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1032	26	3264	2.432915921	0.025988051	0.004379002	0.026340512
GOTERM_MF_ALL	GO:0008137~NADH dehydrogenase (ubiquinone) activity	20	1.838235294	1.56E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1032	26	3264	2.432915921	0.025988051	0.004379002	0.026340512
GOTERM_MF_ALL	GO:0050136~NADH dehydrogenase (quinone) activity	20	1.838235294	1.56E-05	"ENSG00000115286, ENSG00000178127, ENSG00000166136, ENSG00000170906, ENSG00000131495, ENSG00000184752, ENSG00000160194, ENSG00000168653, ENSG00000099795, ENSG00000139180, ENSG00000147684, ENSG00000158864, ENSG00000164258, ENSG00000065518, ENSG00000140990, ENSG00000267855, ENSG00000145494, ENSG00000119013, ENSG00000004779, ENSG00000167792"	1032	26	3264	2.432915921	0.025988051	0.004379002	0.026340512
GOTERM_MF_ALL	GO:0043169~cation binding	272	25	3.29E-05	"ENSG00000115286, ENSG00000055957, ENSG00000111331, ENSG00000015413, ENSG00000024422, ENSG00000173992, ENSG00000050405, ENSG00000115380, ENSG00000242247, ENSG00000115694, ENSG00000099204, ENSG00000035687, ENSG00000133742, ENSG00000075142, ENSG00000143546, ENSG00000165704, ENSG00000178127, ENSG00000167996, ENSG00000131747, ENSG00000189171, ENSG00000119681, ENSG00000123992, ENSG00000009954, ENSG00000196296, ENSG00000117115, ENSG00000087086, ENSG00000109654, ENSG00000186298, ENSG00000124226, ENSG00000171723, ENSG00000075239, ENSG00000127831, ENSG00000100938, ENSG00000140682, ENSG00000107758, ENSG00000126953, ENSG00000113140, ENSG00000182809, ENSG00000067057, ENSG00000100889, ENSG00000074410, ENSG00000137801, ENSG00000095002, ENSG00000010327, ENSG00000104324, ENSG00000154237, ENSG00000079739, ENSG00000167186, ENSG00000168066, ENSG00000107959, ENSG00000182919, ENSG00000174437, ENSG00000002549, ENSG00000134028, ENSG00000116791, ENSG00000198604, ENSG00000117906, ENSG00000171503, ENSG00000149782, ENSG00000011052, ENSG00000059377, ENSG00000008438, ENSG00000127955, ENSG00000066926, ENSG00000063854, ENSG00000128595, ENSG00000166869, ENSG00000084774, ENSG00000173599, ENSG00000168264, ENSG00000171848, ENSG00000133731, ENSG00000161544, ENSG00000178741, ENSG00000071282, ENSG00000104805, ENSG00000021826, ENSG00000154358, ENSG00000101199, ENSG00000111237, ENSG00000198585, ENSG00000197043, ENSG00000100575, ENSG00000161011, ENSG00000111642, ENSG00000101191, ENSG00000152952, ENSG00000165140, ENSG00000113889, ENSG00000124253, ENSG00000113615, ENSG00000154723, ENSG00000074800, ENSG00000077942, ENSG00000162517, ENSG00000104537, ENSG00000134755, ENSG00000152601, ENSG00000169715, ENSG00000138814, ENSG00000169714, ENSG00000162813, ENSG00000104267, ENSG00000142552, ENSG00000121053, ENSG00000262655, ENSG00000163221, ENSG00000070961, ENSG00000153201, ENSG00000016490, ENSG00000163220, ENSG00000168883, ENSG00000065534, ENSG00000100292, ENSG00000154330, ENSG00000074755, ENSG00000067225, ENSG00000163931, ENSG00000135318, ENSG00000100985, ENSG00000100299, ENSG00000102575, ENSG00000163110, ENSG00000128951, ENSG00000198836, ENSG00000163520, ENSG00000189334, ENSG00000157193, ENSG00000148218, ENSG00000102265, ENSG00000100983, ENSG00000125148, ENSG00000142168, ENSG00000115561, ENSG00000110244, ENSG00000160808, ENSG00000166825, ENSG00000096063, ENSG00000114978, ENSG00000138448, ENSG00000181523, ENSG00000148346, ENSG00000049323, ENSG00000079689, ENSG00000116747, ENSG00000083444, ENSG00000102189, ENSG00000180185, ENSG00000156110, ENSG00000175198, ENSG00000132561, ENSG00000158864, ENSG00000172955, ENSG00000125246, ENSG00000124789, ENSG00000065427, ENSG00000243989, ENSG00000104774, ENSG00000196616, ENSG00000135940, ENSG00000114353, ENSG00000125458, ENSG00000169756, ENSG00000124491, ENSG00000012223, ENSG00000104375, ENSG00000170004, ENSG00000175183, ENSG00000155657, ENSG00000198668, ENSG00000186340, ENSG00000159131, ENSG00000244005, ENSG00000068654, ENSG00000105953, ENSG00000169764, ENSG00000173821, ENSG00000239672, ENSG00000179958, ENSG00000163815, ENSG00000133313, ENSG00000105755, ENSG00000153904, ENSG00000160710, ENSG00000173402, ENSG00000167792, ENSG00000160201, ENSG00000159921, ENSG00000138413, ENSG00000118137, ENSG00000145220, ENSG00000129103, ENSG00000158874, ENSG00000109846, ENSG00000130816, ENSG00000213145, ENSG00000119414, ENSG00000133110, ENSG00000198363, ENSG00000149218, ENSG00000108582, ENSG00000167434, ENSG00000105879, ENSG00000141756, ENSG00000122884, ENSG00000103966, ENSG00000157680, ENSG00000133028, ENSG00000142875, ENSG00000275896, ENSG00000163840, ENSG00000135269, ENSG00000016602, ENSG00000005884, ENSG00000130508, ENSG00000165609, ENSG00000067829, ENSG00000171560, ENSG00000108828, ENSG00000131471, ENSG00000147041, ENSG00000079112, ENSG00000127603, ENSG00000103876, ENSG00000187446, ENSG00000182326, ENSG00000213639, ENSG00000100503, ENSG00000178921, ENSG00000163751, ENSG00000163754, ENSG00000169896, ENSG00000038427, ENSG00000243480, ENSG00000078114, ENSG00000168906, ENSG00000150779, ENSG00000004779, ENSG00000073111, ENSG00000072163, ENSG00000138777, ENSG00000163491, ENSG00000119203, ENSG00000103381, ENSG00000111144, ENSG00000248144, ENSG00000081923, ENSG00000106853, ENSG00000102886, ENSG00000124767, ENSG00000058668, ENSG00000138772, ENSG00000100614, ENSG00000109610, ENSG00000112305, ENSG00000116062, ENSG00000133703, ENSG00000135677, ENSG00000006747, ENSG00000058673, ENSG00000108039, ENSG00000154553, ENSG00000173933, ENSG00000101126, ENSG00000178802, ENSG00000172531, ENSG00000112818, ENSG00000121691, ENSG00000113522, ENSG00000154556, ENSG00000127527, ENSG00000125877"	1032	716	3264	1.201507081	0.053858198	0.007877781	0.055373295
GOTERM_MF_ALL	GO:0043167~ion binding	288	26.47058824	3.49E-05	"ENSG00000115286, ENSG00000055957, ENSG00000111331, ENSG00000242515, ENSG00000015413, ENSG00000024422, ENSG00000167701, ENSG00000173992, ENSG00000050405, ENSG00000115380, ENSG00000242247, ENSG00000115694, ENSG00000163586, ENSG00000099204, ENSG00000035687, ENSG00000133742, ENSG00000075142, ENSG00000143546, ENSG00000165704, ENSG00000178127, ENSG00000167996, ENSG00000131747, ENSG00000189171, ENSG00000167165, ENSG00000119681, ENSG00000123992, ENSG00000009954, ENSG00000196296, ENSG00000117115, ENSG00000087086, ENSG00000109654, ENSG00000186298, ENSG00000171234, ENSG00000124226, ENSG00000171723, ENSG00000075239, ENSG00000120053, ENSG00000127831, ENSG00000100938, ENSG00000140682, ENSG00000107758, ENSG00000126953, ENSG00000113140, ENSG00000182809, ENSG00000067057, ENSG00000100889, ENSG00000074410, ENSG00000137801, ENSG00000095002, ENSG00000010327, ENSG00000104324, ENSG00000154237, ENSG00000079739, ENSG00000167186, ENSG00000168066, ENSG00000107959, ENSG00000182919, ENSG00000174437, ENSG00000002549, ENSG00000134028, ENSG00000116791, ENSG00000198604, ENSG00000117906, ENSG00000171503, ENSG00000149782, ENSG00000011052, ENSG00000059377, ENSG00000008438, ENSG00000127955, ENSG00000066926, ENSG00000063854, ENSG00000128595, ENSG00000166869, ENSG00000084774, ENSG00000168264, ENSG00000173599, ENSG00000171848, ENSG00000100266, ENSG00000133731, ENSG00000161544, ENSG00000178741, ENSG00000071282, ENSG00000104805, ENSG00000021826, ENSG00000154358, ENSG00000101199, ENSG00000111237, ENSG00000198585, ENSG00000197043, ENSG00000100575, ENSG00000161011, ENSG00000111642, ENSG00000101191, ENSG00000152952, ENSG00000165140, ENSG00000144959, ENSG00000113889, ENSG00000124253, ENSG00000145384, ENSG00000113615, ENSG00000154723, ENSG00000074800, ENSG00000077942, ENSG00000162517, ENSG00000104537, ENSG00000134755, ENSG00000152601, ENSG00000169715, ENSG00000138814, ENSG00000169714, ENSG00000162813, ENSG00000104267, ENSG00000142552, ENSG00000121053, ENSG00000262655, ENSG00000163221, ENSG00000070961, ENSG00000153201, ENSG00000016490, ENSG00000163220, ENSG00000168883, ENSG00000165457, ENSG00000065534, ENSG00000100292, ENSG00000154330, ENSG00000074755, ENSG00000067225, ENSG00000163931, ENSG00000135318, ENSG00000100985, ENSG00000100299, ENSG00000102575, ENSG00000163110, ENSG00000128951, ENSG00000109861, ENSG00000198836, ENSG00000163520, ENSG00000189334, ENSG00000157193, ENSG00000148218, ENSG00000102265, ENSG00000100983, ENSG00000125148, ENSG00000142168, ENSG00000110244, ENSG00000115561, ENSG00000160808, ENSG00000166825, ENSG00000096063, ENSG00000114978, ENSG00000138448, ENSG00000181523, ENSG00000148346, ENSG00000049323, ENSG00000079689, ENSG00000116747, ENSG00000083444, ENSG00000102189, ENSG00000180185, ENSG00000156110, ENSG00000173039, ENSG00000175198, ENSG00000132561, ENSG00000158864, ENSG00000172955, ENSG00000125246, ENSG00000124789, ENSG00000065427, ENSG00000243989, ENSG00000104774, ENSG00000196616, ENSG00000135940, ENSG00000114353, ENSG00000125458, ENSG00000169756, ENSG00000124491, ENSG00000012223, ENSG00000104375, ENSG00000170004, ENSG00000175183, ENSG00000155657, ENSG00000198668, ENSG00000186340, ENSG00000159131, ENSG00000244005, ENSG00000068654, ENSG00000164687, ENSG00000105953, ENSG00000169764, ENSG00000173821, ENSG00000239672, ENSG00000179958, ENSG00000163815, ENSG00000133313, ENSG00000105755, ENSG00000153904, ENSG00000160710, ENSG00000173402, ENSG00000167792, ENSG00000160201, ENSG00000159921, ENSG00000138413, ENSG00000118137, ENSG00000145220, ENSG00000129103, ENSG00000158874, ENSG00000109846, ENSG00000130816, ENSG00000213145, ENSG00000133110, ENSG00000119414, ENSG00000198363, ENSG00000149218, ENSG00000108582, ENSG00000167434, ENSG00000105879, ENSG00000141756, ENSG00000122884, ENSG00000116171, ENSG00000103966, ENSG00000157680, ENSG00000133028, ENSG00000142875, ENSG00000275896, ENSG00000163840, ENSG00000135269, ENSG00000016602, ENSG00000005884, ENSG00000130508, ENSG00000165609, ENSG00000067829, ENSG00000171560, ENSG00000197888, ENSG00000108828, ENSG00000131471, ENSG00000147041, ENSG00000079112, ENSG00000127603, ENSG00000103876, ENSG00000187446, ENSG00000182326, ENSG00000213639, ENSG00000100503, ENSG00000178921, ENSG00000163751, ENSG00000163754, ENSG00000169896, ENSG00000038427, ENSG00000243480, ENSG00000078114, ENSG00000168906, ENSG00000150779, ENSG00000004779, ENSG00000073111, ENSG00000072163, ENSG00000138777, ENSG00000163491, ENSG00000119203, ENSG00000103381, ENSG00000111144, ENSG00000248144, ENSG00000081923, ENSG00000106853, ENSG00000102886, ENSG00000124767, ENSG00000058668, ENSG00000138772, ENSG00000100614, ENSG00000109610, ENSG00000112305, ENSG00000116062, ENSG00000133703, ENSG00000242366, ENSG00000135677, ENSG00000006747, ENSG00000058673, ENSG00000108039, ENSG00000154553, ENSG00000173933, ENSG00000101126, ENSG00000178802, ENSG00000172531, ENSG00000112818, ENSG00000121691, ENSG00000154556, ENSG00000113522, ENSG00000127527, ENSG00000125877"	1032	764	3264	1.192256179	0.057051024	0.007315995	0.058753221
