ComplexID	ComplexName	Members	QuantifiedInColorectal	DifferentiallyExpressedInColorectal	DifferentiallyExpressedUpRegulated	DifferentiallyExpressedDownRegulated	PercentageDifferentiallyExpressedInColorectal
351	Spliceosome	O00425 O00571 O14776 O15042 O15355 O43143 O43172 O43290 O43395 O43447 O43660 O43670 O43719 O43809 O60231 O60306 O60508 O75400 O75533 O75643 O75934 O75937 O75940 O94906 O95232 O95391 O95400 O95926 P08579 P08621 P09012 P09234 P09661 P11940 P14678 P17844 P26368 P38919 P41223 P42285 P49756 P52298 P55081 P55769 P61326 P62304 P62306 P62308 P62310 P62312 P62314 P62316 P62318 P62995 P83876 P84103 Q01081 Q01130 Q05519 Q07955 Q08170 Q08211 Q09161 Q12874 Q13123 Q13242 Q13243 Q13247 Q13356 Q13435 Q13523 Q13573 Q13769 Q13838 Q14011 Q14498 Q14562 Q15007 Q15029 Q15287 Q15393 Q15427 Q15428 Q15459 Q15637 Q16629 Q16630 Q2TAY7 Q4ZG51 Q53GS9 Q69YN4 Q6I9Y2 Q6P2Q9 Q7L014 Q86V81 Q86W42 Q8IYB3 Q8NI27 Q8WUQ7 Q8WVK2 Q8WWY3 Q8WYA6 Q92620 Q92841 Q96BP3 Q96DF8 Q96DI7 Q96FV9 Q96I25 Q96J01 Q96T37 Q96T58 Q99459 Q99633 Q9BQ61 Q9BRD0 Q9BUQ8 Q9BXP5 Q9BZJ0 Q9H2H8 Q9HCE1 Q9HCG8 Q9HCS7 Q9NW64 Q9NYV4 Q9P013 Q9UBB9 Q9UHX1 Q9UJV9 Q9UK45 Q9UKV3 Q9ULR0 Q9UMS4 Q9UNP9 Q9UQ35 Q9Y2W2 Q9Y333 Q9Y3B4 Q9Y3C6 Q9Y4Z0 Q9Y5B6 Q9Y5S9 Q9Y6A4	O00425 O00571 O14776 O15042 O15355 O43143 O43172 O43290 O43395 O43447 O43660 O43670 O43809 O75400 O75533 O75643 O75934 O75937 O94906 O95232 O95400 P08579 P08621 P09012 P09234 P09661 P11940 P14678 P17844 P26368 P38919 P41223 P42285 P49756 P61326 P62304 P62306 P62308 P62314 P62316 P62318 P62995 P84103 Q01081 Q01130 Q05519 Q07955 Q08170 Q08211 Q09161 Q12874 Q13123 Q13242 Q13243 Q13247 Q13435 Q13523 Q13573 Q13838 Q14011 Q14498 Q15029 Q15287 Q15393 Q15427 Q15428 Q15459 Q15637 Q16629 Q16630 Q2TAY7 Q53GS9 Q6P2Q9 Q7L014 Q86V81 Q86W42 Q8IYB3 Q8NI27 Q8WWY3 Q8WYA6 Q92841 Q96DI7 Q96I25 Q96T37 Q99459 Q9BUQ8 Q9BXP5 Q9HCE1 Q9HCS7 Q9NYV4 Q9UHX1 Q9UKV3 Q9UMS4 Q9UNP9 Q9UQ35 Q9Y2W2 Q9Y333 Q9Y3C6 Q9Y4Z0 Q9Y5S9	O43395 O43660 P14678 P62316 Q01081 Q07955 Q15459 Q15637 Q53GS9 Q86W42 Q9BUQ8 Q9UHX1 Q9UKV3	13	0	0.13
3055	Nop56p-associated pre-rRNA complex	O00567 O76021 P05141 P05386 P05387 P05388 P06748 P08708 P09651 P11387 P13639 P15880 P16402 P18077 P18124 P18621 P19338 P22087 P25398 P26368 P26373 P27635 P30050 P32969 P35268 P36578 P37108 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P46781 P47914 P49411 P50914 P52272 P55209 P55769 P61247 P61254 P61313 P61353 P61513 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62424 P62736 P62750 P62753 P62829 P62841 P62847 P62888 P62891 P62899 P62906 P62910 P62913 P62917 P63267 P67809 P68104 P83731 P83881 P84098 Q00839 Q01081 Q02543 Q02878 Q07020 Q08211 Q12905 Q12906 Q13428 Q13610 Q14978 Q6P3W7 Q71U36 Q8TDN6 Q92522 Q96SB4 Q99848 Q99879 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y2X3 Q9Y383 Q9Y3U8	O00567 O76021 P05141 P05386 P05387 P05388 P06748 P09651 P11387 P13639 P15880 P16402 P18077 P18124 P19338 P22087 P25398 P26368 P26373 P27635 P30050 P32969 P35268 P36578 P37108 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P46781 P47914 P49411 P50914 P52272 P55209 P61247 P61254 P61313 P61353 P61513 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62424 P62736 P62750 P62753 P62829 P62841 P62847 P62888 P62899 P62906 P62910 P62913 P62917 P63267 P67809 P68104 P83731 P84098 Q00839 Q01081 Q02543 Q02878 Q07020 Q08211 Q12905 Q12906 Q13428 Q14978 Q6P3W7 Q8TDN6 Q92522 Q96SB4 Q99848 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y2X3 Q9Y383 Q9Y3U8	O76021 P06748 P09651 P26373 P27635 P39023 P40429 P46779 P61313 P62899 Q01081 Q07020 Q12906 Q13428 Q14978 Q8TDN6 Q96SB4 Q99848 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y383	25	1	0.270833333333333
1181	C complex spliceosome	O43290 O43390 O43660 O60306 O60506 O60508 O75533 O75643 O94906 O95391 O95926 P07910 P08579 P09651 P09661 P11940 P14678 P17844 P22626 P31943 P38159 P38919 P42285 P51991 P52272 P52597 P61326 P61978 P62304 P62306 P62308 P62310 P62314 P62316 P62318 Q00839 Q01081 Q07955 Q12874 Q13435 Q13523 Q13573 Q14331 Q14562 Q15029 Q15393 Q15428 Q15459 Q6NZY4 Q6P2Q9 Q6UX04 Q86V81 Q8IYB3 Q8WUQ7 Q92620 Q96BP3 Q96DF8 Q96DI7 Q99459 Q9BRR8 Q9BRX9 Q9BUQ8 Q9BZJ0 Q9H2H8 Q9H307 Q9H5Z1 Q9HCG8 Q9HCS7 Q9NW64 Q9P013 Q9UBB9 Q9UJV9 Q9UKM9 Q9ULR0 Q9UMS4 Q9UNP9 Q9UQ35 Q9Y333 Q9Y3C6 Q9Y5S9	O43290 O43390 O43660 O60506 O75533 O75643 O94906 P07910 P08579 P09651 P09661 P11940 P14678 P17844 P22626 P31943 P38159 P38919 P42285 P51991 P52272 P52597 P61326 P61978 P62304 P62306 P62308 P62314 P62316 P62318 Q00839 Q01081 Q07955 Q12874 Q13435 Q13523 Q13573 Q15029 Q15393 Q15428 Q15459 Q6NZY4 Q6P2Q9 Q86V81 Q8IYB3 Q96DI7 Q99459 Q9BUQ8 Q9H307 Q9HCS7 Q9UKM9 Q9UMS4 Q9UNP9 Q9UQ35 Q9Y333 Q9Y3C6 Q9Y5S9	O43660 P09651 P14678 P38159 P62316 Q01081 Q07955 Q15459 Q9BUQ8 Q9UKM9	10	0	0.175438596491228
320	55S ribosome, mitochondrial	O15235 O60783 O75394 P09001 P49406 P51398 P52815 P82650 P82663 P82664 P82673 P82675 P82909 P82912 P82914 P82921 P82930 P82932 P82933 P83111 Q13084 Q13405 Q16540 Q4U2R6 Q5T653 Q6P161 Q6P1L8 Q7Z2W9 Q7Z7F7 Q7Z7H8 Q86TS9 Q8IXM3 Q8N5N7 Q8N983 Q8TCC3 Q92552 Q92665 Q96A35 Q96DV4 Q96EL2 Q96EL3 Q96GC5 Q9BQ48 Q9BRJ2 Q9BYC8 Q9BYC9 Q9BYD1 Q9BYD2 Q9BYD3 Q9BYD6 Q9BYN8 Q9BZE1 Q9H0U6 Q9H2W6 Q9H9J2 Q9HD33 Q9NP92 Q9NQ50 Q9NRX2 Q9NVS2 Q9NWU5 Q9NX20 Q9NYK5 Q9NZE8 Q9P015 Q9P0J6 Q9P0M9 Q9Y291 Q9Y2Q9 Q9Y2R5 Q9Y2R9 Q9Y399 Q9Y3B7 Q9Y3D3 Q9Y3D5 Q9Y3D9 Q9Y676 Q9Y6G3	O60783 P09001 P49406 P51398 P52815 P82650 P82663 P82673 P82675 P82909 P82930 P82933 P83111 Q13084 Q13405 Q16540 Q6P1L8 Q7Z2W9 Q8IXM3 Q8N5N7 Q8N983 Q92552 Q92665 Q96A35 Q96DV4 Q9BYC9 Q9BYD1 Q9BYD2 Q9BYD3 Q9BYD6 Q9BZE1 Q9H0U6 Q9H2W6 Q9H9J2 Q9HD33 Q9NP92 Q9NQ50 Q9NRX2 Q9NVS2 Q9NWU5 Q9NX20 Q9NYK5 Q9P015 Q9Y2Q9 Q9Y2R5 Q9Y2R9 Q9Y399 Q9Y3B7 Q9Y3D3 Q9Y3D9 Q9Y676	P82673 Q9Y3B7	2	0	0.0392156862745098
308	60S ribosomal subunit, cytoplasmic	P05386 P05387 P05388 P18077 P18124 P18621 P26373 P27635 P30050 P32969 P35268 P36578 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P47914 P49207 P50914 P61254 P61313 P61353 P61513 P61927 P62424 P62750 P62829 P62888 P62891 P62899 P62906 P62910 P62913 P62917 P62945 P62987 P63173 P83731 P83881 P84098 Q02543 Q02878 Q07020 Q9Y3U8	P05386 P05387 P05388 P18077 P18124 P26373 P27635 P30050 P32969 P35268 P36578 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P47914 P49207 P50914 P61254 P61313 P61353 P61513 P62424 P62750 P62829 P62888 P62899 P62906 P62910 P62913 P62917 P62987 P63173 P83731 P84098 Q02543 Q02878 Q07020 Q9Y3U8	P26373 P27635 P39023 P40429 P46779 P61313 P62899 Q07020	8	0	0.19047619047619
178	Respiratory chain complex I (holoenzyme), mitochondrial	O00217 O00483 O14561 O15239 O43181 O43674 O43676 O43677 O43678 O43920 O75251 O75306 O75380 O75438 O75489 O95139 O95167 O95168 O95169 O95178 O95182 O95298 O95299 O96000 P03886 P03891 P03897 P03901 P03915 P03923 P17568 P19404 P28331 P49821 P51970 P56181 P56556 Q16718 Q16795 Q86Y39 Q9NX14 Q9P0J0 Q9UI09 Q9Y6M9	O00217 O00483 O14561 O43181 O43676 O43678 O43920 O75251 O75306 O75380 O75489 O95167 O95168 O95169 O95182 O95299 O96000 P17568 P19404 P28331 P49821 P51970 P56181 P56556 Q16718 Q16795 Q86Y39 Q9NX14 Q9P0J0 Q9UI09 Q9Y6M9	O00217 O14561 O43181 O43676 O43678 O43920 O75251 O75306 O75380 O95167 O95168 O95169 O95182 O95299 O96000 P17568 P19404 P28331 P49821 P56181 P56556 Q16795 Q9UI09 Q9Y6M9	1	23	0.774193548387097
193	PA700-20S-PA28 complex	O00231 O00232 O00233 O00487 O14818 O43242 O75832 P17980 P20618 P25786 P25787 P25788 P25789 P28066 P28070 P28072 P28074 P35998 P43686 P48556 P49720 P49721 P51665 P55036 P60900 P62191 P62195 P62333 Q06323 Q13200 Q15008 Q16401 Q99436 Q99460 Q9UL46 Q9UNM6	O00231 O00232 O00233 O00487 O14818 O43242 O75832 P17980 P20618 P25786 P25787 P25788 P25789 P28066 P28070 P28072 P35998 P43686 P48556 P49720 P49721 P51665 P55036 P60900 P62191 P62195 P62333 Q06323 Q13200 Q15008 Q16401 Q99436 Q99460 Q9UL46 Q9UNM6	P43686 P49721 P62195 Q16401 Q99436 Q9UNM6	5	1	0.171428571428571
305	40S ribosomal subunit, cytoplasmic	P08708 P08865 P15880 P22090 P23396 P25398 P39019 P42677 P46781 P46782 P46783 P60866 P61247 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62701 P62753 P62841 P62847 P62851 P62854 P62857 P62861 P62979 P63220	P08865 P15880 P22090 P23396 P25398 P39019 P42677 P46781 P46782 P46783 P60866 P61247 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62701 P62753 P62841 P62847 P62851 P62854 P62857 P62979 P63220		0	0	0
2755	17S U2 snRNP	O15042 O43143 O75533 O75937 O75940 P08579 P09661 P10809 P14678 P26368 P62304 P62306 P62308 P62314 P62316 P62318 Q01081 Q07955 Q12874 Q12931 Q13435 Q15393 Q15427 Q15428 Q15459 Q7L014 Q7RTV0 Q8IWX8 Q96I25 Q9BWJ5 Q9P0W2 Q9UHX1 Q9Y3B4	O15042 O43143 O75533 O75937 P08579 P09661 P10809 P14678 P26368 P62304 P62306 P62308 P62314 P62316 P62318 Q01081 Q07955 Q12874 Q12931 Q13435 Q15393 Q15427 Q15428 Q15459 Q7L014 Q7RTV0 Q8IWX8 Q96I25 Q9BWJ5 Q9UHX1	P14678 P62316 Q01081 Q07955 Q15459 Q9UHX1	6	0	0.2
315	28S ribosomal subunit, mitochondrial	O15235 O60783 P51398 P82650 P82663 P82664 P82673 P82675 P82909 P82912 P82914 P82921 P82930 P82932 P82933 Q92552 Q92665 Q96EL2 Q9BYN8 Q9NP92 Q9NVS2 Q9Y291 Q9Y2Q9 Q9Y2R5 Q9Y2R9 Q9Y399 Q9Y3D3 Q9Y3D5 Q9Y3D9 Q9Y676	O60783 P51398 P82650 P82663 P82673 P82675 P82909 P82930 P82933 Q92552 Q92665 Q9NP92 Q9NVS2 Q9Y2Q9 Q9Y2R5 Q9Y2R9 Q9Y399 Q9Y3D3 Q9Y3D9 Q9Y676	P82673	1	0	0.05
