ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	subunits(Gene name)	SWISSPROT organism	Subunits comment	Complex comment	subunits(Gene name syn)	Disease comment	PubMed ID
1	BCL6-HDAC4 complex	Human	None	None	P41182;P56524	604;9759	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	B-cell lymphoma 6 protein;Histone deacetylase 4	BCL6;HDAC4	Homo sapiens (Human);Homo sapiens (Human)	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	BCL5 LAZ3 ZBTB27 ZNF51;KIAA0288	None	11929873
2	BCL6-HDAC5 complex	Human	None	None	P41182;Q9UQL6	604;10014	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	B-cell lymphoma 6 protein;Histone deacetylase 5	BCL6;HDAC5	Homo sapiens (Human);Homo sapiens (Human)	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	BCL5 LAZ3 ZBTB27 ZNF51;KIAA0600	None	11929873
3	BCL6-HDAC7 complex	Human	None	None	P41182;Q8WUI4	604;51564	MI:0007-anti tag coimmunoprecipitation	GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575	DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;B cell differentiation;nucleus;histone deacetylation	10.01.09.05;11.02.03.04.03;42.10.03;43.03.07.02.01.01;70.10	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;B-cell;nucleus	B-cell lymphoma 6 protein;Histone deacetylase 7	BCL6;HDAC7	Homo sapiens (Human);Homo sapiens (Human)	None	Transcriptional repression by BCL6 is thought to be achieved in part by recruiting a repressor complex containing histone deacetylases.	BCL5 LAZ3 ZBTB27 ZNF51;HDAC7A	None	11929873
4	Multisubunit ACTR coactivator complex	Human	None	None	Q09472;Q92793;Q92831;Q9Y6Q9	2033;1387;8850;8202	MI:0004-affinity chromatography technologies;MI:0018-two hybrid	GO:0045893;GO:0023052;GO:0005634	positive regulation of transcription, DNA-templated;signaling;nucleus	11.02.03.04.01;30.01;70.10	transcription activation;cellular signalling;nucleus	Histone acetyltransferase p300;CREB-binding protein;Histone acetyltransferase KAT2B;Nuclear receptor coactivator 3	EP300;CREBBP;KAT2B;NCOA3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	Cofactor ACTR binds directly nuclear receptors and stimulates their transcriptional activities in a hormone-dependent fashion.	P300;CBP;PCAF;AIB1, BHLHE42, RAC3, TRAM1, ACTR	None	9267036
9	6S-nuclear aryl hydrocarbon (Ah) receptor ligand-activated complex	Mouse	None	None	P30561;P53762	11622;11863	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355;GO:0003677;GO:0023052;GO:0009593;GO:0042221;GO:0005634	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;signaling;detection of chemical stimulus;response to chemical;nucleus	11.02.03.04;16.03.01;30.01;34.11.03;70.10	transcriptional control;DNA binding;cellular signalling;chemoperception and response;nucleus	Aryl hydrocarbon receptor ;Aryl hydrocarbon receptor nuclear translocator	Ahr;Arnt	Mus musculus (Mouse);Mus musculus (Mouse)	None	Arnt contains a basic helix-loop-helix motif, which may be responsible for interacting with both the XRE (xenobiotic responsive element) and the ligand-binding subunit.	;None	None	1317062
10	Condensin I complex	Human	13S condensin complex	None	O95347;Q15003;Q15021;Q9BPX3;Q9NTJ3	10592;23397;9918;64151;10051	MI:0004-affinity chromatography technologies;MI:0019-coimmunoprecipitation	GO:0000279;GO:0007067;GO:0030261;GO:0007059;GO:0051276;GO:0005694	M phase;mitotic nuclear division;chromosome condensation;chromosome segregation;chromosome organization;chromosome	10.03.01.01.11;10.03.04.03;10.03.04.05;42.10.03;70.10.03	M phase;chromosome condensation;chromosome segregation/division;organization of chromosome structure;chromosome	Structural maintenance of chromosomes protein 2;Condensin complex subunit 2;Condensin complex subunit 1;Condensin complex subunit 3;Structural maintenance of chromosomes protein 4	SMC2;NCAPH;NCAPD2;NCAPG;SMC4	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	None	CAPE SMC2L1;BRRN BRRN1 CAPH KIAA0074;CAPD2 CNAP1 KIAA0159;CAPG NYMEL3;CAPC SMC4L1	None	11136719
11	BLOC-3 (biogenesis of lysosome-related organelles complex 3)	Human	None	None	Q92902;Q9NQG7	3257;89781	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	Hermansky-Pudlak syndrome 1 protein;Hermansky-Pudlak syndrome 4 protein	HPS1;HPS4	Homo sapiens (Human);Homo sapiens (Human)	None	The results suggest that HPS1 and HPS4 are components of a protein complex that regulates the intracellular localization of lysosomes and late endosomes and may function in a BLOC-1-dependent pathway for melanosome biogenesis.	HPS;KIAA1667	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).	12847290
12	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Human	None	None	Q86YV9;Q969F9;Q9UPZ3	79803;84343;11234	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	Hermansky-Pudlak syndrome 6 protein ;Hermansky-Pudlak syndrome 3 protein;Hermansky-Pudlak syndrome 5 protein	HPS6;HPS3;HPS5	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	None	The results suggest that BLOC-2 is not critical for basal levels of secretion of lysosomal enzymes by fibroblasts.	;;AIBP63 KIAA1017	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome.	15030569
13	MUS81-CDS1 complex	Human	None	HeLa cells	Q92903;Q96NY9	1040;80198	MI:0004-affinity chromatography technologies	GO:0006281;GO:0006310	DNA repair;DNA recombination	10.01.05.01;10.01.05.03	DNA repair;DNA recombination	Phosphatidate cytidylyltransferase 1;Crossover junction endonuclease MUS81	CDS1;MUS81	Homo sapiens (Human);Homo sapiens (Human)	None	Human Mus81-associated endonuclease resolves Holliday junctions into linear duplexes by cutting across the junction exclusively on strands of like polarity. In addition, Mus81 protein abundance increases in cells following exposure to agents that block DNA replication. Taken together, these findings suggest a role for Mus81 in resolving Holliday junctions that arise when DNA replication is blocked by damage or by nucleotide depletion. Mus81 is not related by sequence to previously characterized Holliday junction resolving enzymes, and it has distinct enzymatic properties that suggest it uses a novel enzymatic strategy to cleave Holliday junctions. Mus81 interacts with the FHA domain of Cds1.	CDS;None	None	11741546
14	BLOC-2 (biogenesis of lysosome-related organelles complex 2)	Mouse	None	None	P59438;Q8BLY7;Q91VB4	246694;20170;12807	MI:0019- coimmunoprecipitation; MI:0029- cosedimentation through density gradients; MI:0071- molecular sieving	GO:0007032;GO:0007040;GO:0007033	endosome organization;lysosome organization;vacuole organization	42.22;42.25	endosome;vacuole or lysosome	Hermansky-Pudlak syndrome 5 protein homolog ;Hermansky-Pudlak syndrome 6 protein homolog ;Hermansky-Pudlak syndrome 3 protein homolog	Hps5;Hps6;Hps3	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	None	The results indicate that the Hps3, Hps5, and Hps6 proteins regulate vesicle trafficking to lysosome-related organelles at the physiological level as components of the BLOC-2 complex.	Ru2;Ru;Coa	HPS1-7 are involved in Hermansky-Pudlak syndrome (HPS), which  comprises at least seven different autosomal recessive disorders (referred to as HPS-1 through -7) that share the clinical manifestations of oculocutaneous albinism combined with platelet storage pool deficiency and do not present with the severe immunodeficiency and giant intracellular granules characteristic of Chediak-Higashi syndrome (PMID:15030569).	14718540
