ComplexID	ComplexName	Members	QuantifiedInColorectal	DifferentiallyExpressedInColorectal	DifferentiallyExpressedUpRegulated	DifferentiallyExpressedDownRegulated	PercentageDifferentiallyExpressedInColorectal
2948	Respiratory chain complex I (incomplete intermediate), mitochondrial	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	0	11	1
6820	APOL1 complex B (APOL1, APOA1, HPR, FN1, IGHM)	O14791 P00739 P01871 P02647 P02751	P00739 P02647 P02751	P00739 P02647 P02751	2	1	1
2905	Respiratory chain complex I (intermediate), mitochondrial	O43181 O43678 O43920 O75251 O75306 O75489 O95139 P03886 P19404 P56556 Q16795	O43181 O43678 O43920 O75251 O75306 O75489 P19404 P56556 Q16795	O43181 O43678 O43920 O75251 O75306 P19404 P56556 Q16795	0	8	0.888888888888889
387	MCM complex	P25205 P33991 P33992 P33993 P49736 Q14566	P25205 P33991 P33992 P33993 P49736 Q14566	P25205 P33992 P33993 P49736 Q14566	5	0	0.833333333333333
2914	Respiratory chain complex I (beta subunit) mitochondrial	O00483 O14561 O43674 O43676 O75438 O95139 O95168 O95169 O95178 O95298 O96000 P03905 P03915 P17568 Q9NX14 Q9Y6M9	O00483 O14561 O43676 O95168 O95169 O96000 P17568 Q9NX14 Q9Y6M9	O14561 O43676 O95168 O95169 O96000 P17568 Q9Y6M9	1	6	0.777777777777778
178	Respiratory chain complex I (holoenzyme), mitochondrial	O00217 O00483 O14561 O15239 O43181 O43674 O43676 O43677 O43678 O43920 O75251 O75306 O75380 O75438 O75489 O95139 O95167 O95168 O95169 O95178 O95182 O95298 O95299 O96000 P03886 P03891 P03897 P03901 P03915 P03923 P17568 P19404 P28331 P49821 P51970 P56181 P56556 Q16718 Q16795 Q86Y39 Q9NX14 Q9P0J0 Q9UI09 Q9Y6M9	O00217 O00483 O14561 O43181 O43676 O43678 O43920 O75251 O75306 O75380 O75489 O95167 O95168 O95169 O95182 O95299 O96000 P17568 P19404 P28331 P49821 P51970 P56181 P56556 Q16718 Q16795 Q86Y39 Q9NX14 Q9P0J0 Q9UI09 Q9Y6M9	O00217 O14561 O43181 O43676 O43678 O43920 O75251 O75306 O75380 O95167 O95168 O95169 O95182 O95299 O96000 P17568 P19404 P28331 P49821 P56181 P56556 Q16795 Q9UI09 Q9Y6M9	1	23	0.774193548387097
2920	Respiratory chain complex I (lambda subunit) mitochondrial	O00217 O43181 O43678 O75251 O75306 O75380 O75489 O95182 P19404 P28331 P49821 P56181 Q16718 Q86Y39 Q9P0J0 Q9UI09	O00217 O43181 O43678 O75251 O75306 O75380 O75489 O95182 P19404 P28331 P49821 P56181 Q16718 Q86Y39 Q9P0J0 Q9UI09	O00217 O43181 O43678 O75251 O75306 O75380 O95182 P19404 P28331 P49821 P56181 Q9UI09	0	12	0.75
1308	PABPC1-HSPA8-HNRPD-EIF4G1 complex	P11142 P11940 Q04637 Q14103 Q59EJ3	P11142 P11940 Q04637 Q14103	P11142 Q04637 Q14103	3	0	0.75
2903	Respiratory chain complex I (intermediate V/380kD and VI/480kD), mitochondrial	O43678 O75306 O75489 P03886 Q16795	O43678 O75306 O75489 Q16795	O43678 O75306 Q16795	0	3	0.75
1413	NCOR1 complex	O15379 O75376 P51532 Q12824 Q13263 Q15393 Q15459 Q6ZRS2 Q8TAQ2 Q92922	P51532 Q13263 Q15393 Q15459 Q6ZRS2 Q8TAQ2 Q92922	P51532 Q15459 Q6ZRS2 Q8TAQ2 Q92922	5	0	0.714285714285714
6302	B-WICH complex	O00159 O60264 O75533 P35659 Q03468 Q9BQG0 Q9C093 Q9NR30 Q9UIG0	O00159 O60264 O75533 P35659 Q9BQG0 Q9NR30 Q9UIG0	O60264 P35659 Q9BQG0 Q9NR30 Q9UIG0	5	0	0.714285714285714
1230	WINAC complex	O14497 O96019 P11473 P51531 P51532 Q02880 Q12824 Q13111 Q8TAQ2 Q92922 Q969G3 Q96GM5 Q9UIG0 Q9Y5B9	O96019 P51531 P51532 Q02880 Q8TAQ2 Q92922 Q969G3 Q9UIG0 Q9Y5B9	O96019 P51532 Q02880 Q8TAQ2 Q92922 Q9UIG0	6	0	0.666666666666667
565	PBAF complex (Polybromo- and BAF containing complex)	O96019 P51532 Q12824 Q68CP9 Q86U86 Q8TAQ2 Q92922 Q969G3 Q96GM5	O96019 P51532 Q86U86 Q8TAQ2 Q92922 Q969G3	O96019 P51532 Q8TAQ2 Q92922	4	0	0.666666666666667
376	PCNA-MutS-alpha-MutL-alpha-DNA complex	P12004 P40692 P43246 P52701 P54278	P12004 P43246 P52701	P43246 P52701	2	0	0.666666666666667
520	KCNQ1 macromolecular complex	P13861 P17612 P51787 P62136 Q99996	P13861 P17612 P62136	P17612 P62136	2	0	0.666666666666667
570	p300-CBP-p270-SWI/SNF complex	O14497 P51532 Q09472 Q12824 Q8TAQ2 Q92793 Q92922	P51532 Q09472 Q8TAQ2 Q92793 Q92922	P51532 Q8TAQ2 Q92922	3	0	0.6
810	FCP1-associated protein complex	O14744 P30876 P35269 P84090 Q15208 Q9BQA1 Q9Y5B0	O14744 P30876 P35269 P84090 Q9Y5B0	O14744 P84090 Q9Y5B0	2	1	0.6
1307	Multiprotein complex (mRNA turnover)	O60506 O75534 P11940 Q14103 Q9H074	O60506 O75534 P11940 Q14103 Q9H074	O75534 Q14103 Q9H074	3	0	0.6
433	BASC complex (BRCA1-associated genome surveillance complex)	O60934 P35249 P35250 P35251 P38398 P40692 P43246 P49959 P52701 P54132 Q13315 Q92878	O60934 P35249 P35250 P43246 P52701 Q13315 Q92878	P35250 P43246 P52701 Q92878	4	0	0.571428571428571
2829	RSmad complex	P51532 P84022 Q13485 Q15796 Q8NFD5 Q8TAQ2 Q92793 Q92922 Q9UPN9 Q9Y6Q9	P51532 P84022 Q15796 Q8TAQ2 Q92793 Q92922	P51532 Q8TAQ2 Q92922	3	0	0.5
87	Nup 107-160 subcomplex	P52948 P55735 P57740 Q12769 Q8NFH3 Q8NFH4 Q8WUM0 Q96EE3 Q9BW27	P52948 P55735 P57740 Q12769 Q8NFH3 Q8WUM0 Q96EE3 Q9BW27	P55735 P57740 Q12769 Q8WUM0	4	0	0.5
49	DNMT3B complex	O60264 O95239 O95347 Q13547 Q96ST3 Q9NTJ3 Q9UBC3	O60264 O95347 Q13547 Q9NTJ3	O60264 O95347	2	0	0.5
3102	DHX9-ADAR-vigilin-DNA-PK-Ku antigen complex	P12956 P13010 P55265 P78527 Q00341 Q08211	P12956 P13010 P55265 P78527 Q00341 Q08211	P55265 P78527 Q00341	3	0	0.5
1060	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26B)	O60749 Q13596 Q4G0F5 Q96QK1 Q9UBQ0	O60749 Q13596 Q96QK1 Q9UBQ0	Q13596 Q9UBQ0	1	1	0.5
6858	CHTOP-methylosome complex	O14744 P84090 Q99873 Q9BQA1 Q9Y3Y2	O14744 P84090 Q99873 Q9Y3Y2	O14744 P84090	1	1	0.5
7292	EIF2B1-EIF2B2-EIF2B3-EIF2B4-EIF2B5 complex	P49770 Q13144 Q14232 Q9NR50 Q9UI10	Q13144 Q14232 Q9NR50 Q9UI10	Q9NR50 Q9UI10	2	0	0.5
1729	TLE1 corepressor complex (MASH1 promoter-corepressor complex)	P06748 P09874 P19338 P34932 P35580 P60709 Q02880 Q04724 Q15233 Q92878	P06748 P09874 P19338 P34932 P35580 P60709 Q02880 Q15233 Q92878	P06748 Q02880 Q15233 Q92878	4	0	0.444444444444444
86	NUMAC complex (nucleosomal methylation activator complex)	O14497 P51532 P60709 Q12824 Q86X55 Q8TAQ2 Q92922 Q969G3 Q96GM5 Q96KG9	P51532 P60709 Q86X55 Q8TAQ2 Q92922 Q969G3 Q96KG9	P51532 Q8TAQ2 Q92922	3	0	0.428571428571429
1728	CTCF-nucleophosmin-PARP-HIS-KPNA-LMNA-TOP complex	O00505 P02545 P06748 P09874 P0C0S5 P11388 P49711 P52294 Q6FI13	O00505 P02545 P06748 P09874 P11388 P52294 Q6FI13	P02545 P06748 P11388	3	0	0.428571428571429
924	Toposome	P07910 P11388 Q08211 Q08945 Q6P2Q9 Q96SB4 Q9NR30	P07910 P11388 Q08211 Q08945 Q6P2Q9 Q96SB4 Q9NR30	P11388 Q96SB4 Q9NR30	3	0	0.428571428571429
563	F1F0-ATP synthase, mitochondrial	O75947 O75964 P00846 P03928 P05496 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56134 P56381 P56385 Q9UII2	O75947 O75964 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56134 P56381 P56385	O75947 O75964 P18859 P25705 P30049	2	3	0.416666666666667
778	LARC complex (LCR-associated remodeling complex)	O14497 O94776 O95983 O96019 P07910 P51532 P60709 Q09028 Q12824 Q13547 Q14839 Q8TAQ2 Q8WXI9 Q92769 Q92785 Q92922 Q92925 Q969G3 Q9UBB5	O94776 O96019 P07910 P51532 P60709 Q09028 Q13547 Q14839 Q8TAQ2 Q8WXI9 Q92769 Q92785 Q92922 Q969G3 Q9UBB5	O96019 P51532 Q14839 Q8TAQ2 Q92922 Q9UBB5	6	0	0.4
5611	Emerin complex 24	P02545 P06400 P20700 P33991 P49736 P50402 P68431 Q00839 Q02539 Q07021 Q08999 Q13287 Q14566 Q9H0E3 Q9H503	P02545 P20700 P33991 P49736 P50402 P68431 Q00839 Q02539 Q07021 Q14566	P02545 P49736 Q02539 Q14566	4	0	0.4
7376	BRD7-CBP-SWI\u2013SNF complex	O14744 P51531 P51532 Q8WUB8 Q969G3 Q9NPI1 Q9NWQ8	O14744 P51531 P51532 Q969G3 Q9NWQ8	O14744 P51532	2	0	0.4
1182	CDC5L core complex	O43660 O75934 P11142 Q92616 Q99459 Q9UMS4	O43660 O75934 P11142 Q99459 Q9UMS4	O43660 P11142	2	0	0.4
1231	FIB-associated protein complex	O14744 P22087 Q07021 Q71U36 Q99873 Q9H4B7	O14744 P22087 Q07021 Q99873 Q9H4B7	O14744 Q9H4B7	2	0	0.4
